N,training_seed,kl_vs_truncated_nuts,median_shift_max,sd_ratio_min,sd_ratio_max
250000,50,1.7735443019148551,1.5074890118098065,0.9445900305430239,1.0720673055001508
1000000,7,1.9831947187676728,1.5365264219809398,0.9172960444951586,1.0650143402334786
1000000,23,1.9599925974885788,1.55116724356141,0.949587033235867,1.0617533032080235
1000000,50,1.8122678130511551,1.5388572001346899,0.9130638876537626,1.0290535045095148
