method,n,N,N_label,param,seed_count,coverage_80_mean,coverage_80_sd,coverage_80_q05,coverage_80_q25,coverage_80_median,coverage_80_q75,coverage_80_q95,coverage_90_mean,coverage_90_sd,coverage_90_q05,coverage_90_q25,coverage_90_median,coverage_90_q75,coverage_90_q95,coverage_95_mean,coverage_95_sd,coverage_95_q05,coverage_95_q25,coverage_95_median,coverage_95_q75,coverage_95_q95
flow_npe,500,500,N=n,k,101,0.8906930698137178,0.29018014211363796,0.0,1.0,1.0,1.0,1.0,0.9907920791371034,0.061183056666486664,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
flow_npe,500,3107,N=n log(n),A,101,0.824059404654078,0.12098080967779434,0.6200000047683716,0.75,0.8600000143051147,0.9100000262260437,0.9599999785423279,0.9296039661558548,0.07208219016537072,0.7900000214576721,0.8999999761581421,0.9599999785423279,0.9800000190734863,1.0,0.9782178248509322,0.03447886673640156,0.9100000262260437,0.9700000286102295,0.9900000095367432,1.0,1.0
flow_npe,500,3107,N=n log(n),B,101,0.919108913381501,0.1298699284647802,0.6499999761581421,0.8999999761581421,0.9800000190734863,1.0,1.0,0.9783168340673541,0.06141773939253969,0.8999999761581421,0.9900000095367432,1.0,1.0,1.0,0.9983168321080728,0.010398973122811569,0.9900000095367432,1.0,1.0,1.0,1.0
flow_npe,500,3107,N=n log(n),g,101,0.9566336651839832,0.126049808560777,0.6000000238418579,0.9900000095367432,1.0,1.0,1.0,0.9905940601141145,0.04066501591832519,0.9599999785423279,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
flow_npe,500,3107,N=n log(n),k,101,0.9768316831144661,0.13875107733275494,0.949999988079071,1.0,1.0,1.0,1.0,0.9998019803868662,0.0019900724825371537,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
flow_npe,500,11180,N=n^(3/2),A,101,0.7802970297265761,0.0815163247779912,0.6000000238418579,0.75,0.7900000214576721,0.8299999833106995,0.8899999856948853,0.8913861395108817,0.06482329579410966,0.7599999904632568,0.8500000238418579,0.8999999761581421,0.9399999976158142,0.9700000286102295,0.9505940640326773,0.041588989929133,0.8799999952316284,0.9300000071525574,0.9599999785423279,0.9800000190734863,0.9900000095367432
flow_npe,500,11180,N=n^(3/2),B,101,0.9226732737947219,0.05873484875676712,0.8100000023841858,0.8799999952316284,0.9300000071525574,0.9700000286102295,0.9900000095367432,0.9847524803463775,0.020228398269905176,0.9399999976158142,0.9800000190734863,0.9900000095367432,1.0,1.0,0.9978217842555283,0.005404430134844746,0.9900000095367432,1.0,1.0,1.0,1.0
flow_npe,500,11180,N=n^(3/2),g,101,0.9800990135362833,0.03386724222458628,0.9100000262260437,0.9800000190734863,0.9900000095367432,1.0,1.0,0.9974257444391156,0.006731040098890383,0.9900000095367432,1.0,1.0,1.0,1.0,0.9986138627080634,0.004478768545072607,0.9900000095367432,1.0,1.0,1.0,1.0
flow_npe,500,11180,N=n^(3/2),k,101,0.9769306950049825,0.0695664083829118,0.8600000143051147,1.0,1.0,1.0,1.0,0.9998019803868662,0.001400140100292481,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
flow_npe,500,250000,N=n^2,A,101,0.7905940566912736,0.0485555731651179,0.7099999785423279,0.7699999809265137,0.7900000214576721,0.8199999928474426,0.8500000238418579,0.8925742565995396,0.035851179929807915,0.8399999737739563,0.8700000047683716,0.8899999856948853,0.9200000166893005,0.9399999976158142,0.9435643565536725,0.029684486310069057,0.8899999856948853,0.9300000071525574,0.949999988079071,0.9700000286102295,0.9800000190734863
flow_npe,500,250000,N=n^2,B,101,0.8290098999986554,0.05843808819775036,0.699999988079071,0.8100000023841858,0.8299999833106995,0.8600000143051147,0.9100000262260437,0.9207920815685008,0.03662466877526384,0.8500000238418579,0.8999999761581421,0.9300000071525574,0.949999988079071,0.9700000286102295,0.965643569974616,0.02475544151736422,0.9300000071525574,0.949999988079071,0.9700000286102295,0.9800000190734863,0.9900000095367432
flow_npe,500,250000,N=n^2,g,101,0.9348514888546254,0.05317168412848122,0.8100000023841858,0.9100000262260437,0.949999988079071,0.9700000286102295,0.9900000095367432,0.981287135346101,0.023480348364026713,0.9399999976158142,0.9700000286102295,0.9900000095367432,1.0,1.0,0.9962376267603128,0.00772676514599176,0.9800000190734863,0.9900000095367432,1.0,1.0,1.0
flow_npe,500,250000,N=n^2,k,101,0.8717821795161408,0.060173021354418973,0.7699999809265137,0.8399999737739563,0.8799999952316284,0.9100000262260437,0.949999988079071,0.9608910945382448,0.03069524756661293,0.9200000166893005,0.949999988079071,0.9700000286102295,0.9800000190734863,1.0,0.9893069385301949,0.012981321411082217,0.9700000286102295,0.9800000190734863,0.9900000095367432,1.0,1.0
flow_npe,1000,1000,N=n,A,101,0.9473267356948097,0.09705556327372991,0.7599999904632568,0.9399999976158142,0.9800000190734863,1.0,1.0,0.9925742586060325,0.0322692895720829,0.9700000286102295,1.0,1.0,1.0,1.0,0.9992079209573198,0.006112800990084321,1.0,1.0,1.0,1.0,1.0
flow_npe,1000,1000,N=n,B,101,0.9100000017350263,0.19590814169279092,0.3700000047683716,0.9300000071525574,1.0,1.0,1.0,0.9819801980906194,0.0867527515924015,0.9399999976158142,1.0,1.0,1.0,1.0,0.999009901344186,0.009000547349136795,1.0,1.0,1.0,1.0,1.0
flow_npe,1000,1000,N=n,g,101,0.8773267337001196,0.2634269962280161,0.20000000298023224,0.9599999785423279,1.0,1.0,1.0,0.9870297032417638,0.0934509977111566,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
flow_npe,1000,1000,N=n,k,101,0.9780198019920009,0.10408669144528107,0.9599999785423279,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
flow_npe,1000,6907,N=n log(n),A,101,0.8047524740790376,0.11141448796329077,0.5699999928474426,0.7599999904632568,0.8299999833106995,0.8799999952316284,0.9200000166893005,0.9084158439447384,0.08186248073014984,0.7300000190734863,0.8899999856948853,0.9300000071525574,0.9599999785423279,0.9900000095367432,0.9608910927678099,0.05073655473633668,0.8500000238418579,0.949999988079071,0.9800000190734863,0.9900000095367432,1.0
flow_npe,1000,6907,N=n log(n),B,101,0.9085148558168128,0.10437802711822261,0.6800000071525574,0.8600000143051147,0.9399999976158142,0.9800000190734863,1.0,0.9801980227527052,0.03655079245641173,0.8899999856948853,0.9800000190734863,1.0,1.0,1.0,0.9967326752030023,0.008844081189813632,0.9800000190734863,1.0,1.0,1.0,1.0
flow_npe,1000,6907,N=n log(n),g,101,0.9835643591267047,0.06579641588077297,0.9200000166893005,0.9900000095367432,1.0,1.0,1.0,0.9979207922916601,0.01601979209119906,0.9900000095367432,1.0,1.0,1.0,1.0,0.9999009901934331,0.0009950362412685769,1.0,1.0,1.0,1.0,1.0
flow_npe,1000,6907,N=n log(n),k,101,0.9631683165484136,0.1155935180333077,0.7200000286102295,1.0,1.0,1.0,1.0,0.9993069307638867,0.006965259619763866,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
flow_npe,1000,31622,N=n^(3/2),A,101,0.7619801978073498,0.06745397945605135,0.6600000262260437,0.7200000286102295,0.7599999904632568,0.8100000023841858,0.8700000047683716,0.8771287114313333,0.04848374355054461,0.800000011920929,0.8500000238418579,0.8799999952316284,0.9100000262260437,0.949999988079071,0.93821782463848,0.03511113995043036,0.8799999952316284,0.9200000166893005,0.9399999976158142,0.9599999785423279,0.9900000095367432
flow_npe,1000,31622,N=n^(3/2),B,101,0.8655445546206861,0.062281221686301444,0.75,0.8199999928474426,0.8700000047683716,0.8999999761581421,0.9599999785423279,0.9500000046031309,0.03736308747484492,0.8700000047683716,0.9300000071525574,0.9599999785423279,0.9800000190734863,1.0,0.9850495115365132,0.018089983179391426,0.949999988079071,0.9800000190734863,0.9900000095367432,1.0,1.0
flow_npe,1000,31622,N=n^(3/2),g,101,0.9272277275524518,0.06548463791517144,0.8399999737739563,0.9100000262260437,0.9399999976158142,0.9700000286102295,0.9900000095367432,0.9809901059264003,0.02893112544851999,0.9399999976158142,0.9700000286102295,0.9900000095367432,1.0,1.0,0.9942574300388298,0.011344292182641689,0.9800000190734863,0.9900000095367432,1.0,1.0,1.0
flow_npe,1000,31622,N=n^(3/2),k,101,0.9632673340268655,0.060301059236388434,0.8600000143051147,0.9599999785423279,0.9900000095367432,1.0,1.0,0.9954455477176326,0.011876421681394658,0.9800000190734863,1.0,1.0,1.0,1.0,0.9995049503770205,0.004092980623981784,1.0,1.0,1.0,1.0,1.0
flow_npe,1000,1000000,N=n^2,A,101,0.8045544500398164,0.05284931088949962,0.7200000286102295,0.7699999809265137,0.8100000023841858,0.8399999737739563,0.8899999856948853,0.9049504965838819,0.03772595483477916,0.8399999737739563,0.8799999952316284,0.9100000262260437,0.9300000071525574,0.9599999785423279,0.9510891107049319,0.027636973475489112,0.8899999856948853,0.9399999976158142,0.949999988079071,0.9700000286102295,0.9900000095367432
flow_npe,1000,1000000,N=n^2,B,101,0.8296039611986368,0.051262477664194596,0.75,0.7900000214576721,0.8299999833106995,0.8700000047683716,0.9100000262260437,0.9209900988210545,0.034278419104238934,0.8500000238418579,0.8999999761581421,0.9300000071525574,0.949999988079071,0.9700000286102295,0.9631683254005885,0.023320840797297186,0.9200000166893005,0.949999988079071,0.9700000286102295,0.9800000190734863,0.9900000095367432
flow_npe,1000,1000000,N=n^2,g,101,0.8720792095259865,0.11286555903897369,0.75,0.8600000143051147,0.8899999856948853,0.9300000071525574,0.9599999785423279,0.949603968106284,0.09403106949761247,0.8700000047683716,0.949999988079071,0.9700000286102295,0.9800000190734863,1.0,0.9860396101923272,0.01871251877448949,0.9399999976158142,0.9800000190734863,0.9900000095367432,1.0,1.0
flow_npe,1000,1000000,N=n^2,k,101,0.8415841572355516,0.05522196682663232,0.75,0.8100000023841858,0.8500000238418579,0.8799999952316284,0.9200000166893005,0.9407920837402344,0.03612985201789713,0.8600000143051147,0.9200000166893005,0.949999988079071,0.9700000286102295,0.9900000095367432,0.9817821873296605,0.016875784138062407,0.949999988079071,0.9700000286102295,0.9900000095367432,0.9900000095367432,1.0
flow_npe,5000,5000,N=n,A,101,0.8657425768894724,0.13633302542751313,0.5899999737739563,0.8500000238418579,0.9100000262260437,0.9599999785423279,0.9900000095367432,0.9519802060457739,0.07106363273864733,0.7900000214576721,0.949999988079071,0.9800000190734863,0.9900000095367432,1.0,0.9841584203266861,0.031345405060071815,0.9200000166893005,0.9900000095367432,1.0,1.0,1.0
flow_npe,5000,5000,N=n,B,101,0.8828712903922147,0.1849126130811328,0.4699999988079071,0.8299999833106995,0.9700000286102295,1.0,1.0,0.9750495069097764,0.07784117088538119,0.8600000143051147,0.9900000095367432,1.0,1.0,1.0,0.9935643572618466,0.03378118299045329,0.9800000190734863,1.0,1.0,1.0,1.0
flow_npe,5000,5000,N=n,g,101,0.9689108938863962,0.1329578957450439,0.9100000262260437,0.9900000095367432,1.0,1.0,1.0,0.9976237628719594,0.021078352041705894,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
flow_npe,5000,5000,N=n,k,101,0.9414851485318182,0.22421590603035066,0.44999998807907104,1.0,1.0,1.0,1.0,0.9998019803868662,0.0014001401002924805,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
flow_npe,5000,42585,N=n log(n),A,101,0.7860396032286162,0.06928317629665083,0.6499999761581421,0.75,0.800000011920929,0.8299999833106995,0.8799999952316284,0.8923762375765508,0.050222476148785535,0.8100000023841858,0.8700000047683716,0.8999999761581421,0.9300000071525574,0.949999988079071,0.9473267351046647,0.037413667510024104,0.8899999856948853,0.9399999976158142,0.949999988079071,0.9700000286102295,0.9900000095367432
flow_npe,5000,42585,N=n log(n),B,101,0.870594060657048,0.06405968841757936,0.75,0.8500000238418579,0.8799999952316284,0.9200000166893005,0.949999988079071,0.9473267380553897,0.038023443635900704,0.8600000143051147,0.9300000071525574,0.949999988079071,0.9700000286102295,1.0,0.9830693136347403,0.01973537766918666,0.9399999976158142,0.9800000190734863,0.9900000095367432,1.0,1.0
flow_npe,5000,42585,N=n log(n),g,101,0.9012871310852542,0.07594291898644313,0.800000011920929,0.8700000047683716,0.9200000166893005,0.949999988079071,0.9800000190734863,0.9687128757486249,0.03812252497788629,0.9100000262260437,0.9599999785423279,0.9800000190734863,0.9900000095367432,1.0,0.9913861444680998,0.016126354144569262,0.9700000286102295,0.9900000095367432,1.0,1.0,1.0
flow_npe,5000,42585,N=n log(n),k,101,0.924554458939203,0.13205699635676277,0.7099999785423279,0.9100000262260437,0.9800000190734863,0.9900000095367432,1.0,0.9751485161261984,0.1048199788042193,0.9200000166893005,0.9900000095367432,1.0,1.0,1.0,0.991683168281423,0.05851614118927101,0.9900000095367432,1.0,1.0,1.0,1.0
flow_npe,5000,353553,N=n^(3/2),A,101,0.7910891080846881,0.04799793517712496,0.7200000286102295,0.7599999904632568,0.7900000214576721,0.8199999928474426,0.8600000143051147,0.8948514862815933,0.031388340382059204,0.8399999737739563,0.8799999952316284,0.8999999761581421,0.9200000166893005,0.9399999976158142,0.949009901816302,0.023173477697190463,0.8999999761581421,0.9300000071525574,0.949999988079071,0.9700000286102295,0.9800000190734863
flow_npe,5000,353553,N=n^(3/2),B,101,0.8293069305986461,0.051966480994890395,0.7599999904632568,0.7900000214576721,0.8299999833106995,0.8600000143051147,0.9100000262260437,0.9216831686473129,0.030661679462574216,0.8799999952316284,0.8999999761581421,0.9200000166893005,0.9399999976158142,0.9599999785423279,0.9615841614137782,0.023610708064473213,0.9200000166893005,0.949999988079071,0.9599999785423279,0.9800000190734863,0.9900000095367432
flow_npe,5000,353553,N=n^(3/2),g,101,0.8665346523912827,0.09480965812683287,0.6399999856948853,0.8399999737739563,0.8799999952316284,0.9300000071525574,0.9599999785423279,0.9537623807935431,0.04525155497324528,0.8299999833106995,0.9399999976158142,0.9599999785423279,0.9800000190734863,1.0,0.9837623846412885,0.02009235830069316,0.9399999976158142,0.9800000190734863,0.9900000095367432,1.0,1.0
flow_npe,5000,353553,N=n^(3/2),k,101,0.8907920783109003,0.07642883265868963,0.7699999809265137,0.8600000143051147,0.8999999761581421,0.9399999976158142,0.9800000190734863,0.9586138654463362,0.0419053671493064,0.8999999761581421,0.949999988079071,0.9700000286102295,0.9800000190734863,1.0,0.980396044726419,0.027637686869734772,0.9399999976158142,0.9700000286102295,0.9900000095367432,1.0,1.0
flow_npe,5000,25000000,N=n^2,A,65,0.7978461503982544,0.05447167441738747,0.7200000286102295,0.7699999809265137,0.7900000214576721,0.8399999737739563,0.8700000047683716,0.8941538462272057,0.03811546515119663,0.821999990940094,0.8700000047683716,0.8899999856948853,0.9200000166893005,0.9399999976158142,0.9512307744759779,0.025094054609763508,0.9120000243186951,0.9300000071525574,0.949999988079071,0.9700000286102295,0.9900000095367432
flow_npe,5000,25000000,N=n^2,B,65,0.8233846160081717,0.05022689009989739,0.7420000076293946,0.800000011920929,0.8199999928474426,0.8600000143051147,0.8700000047683716,0.9173846171452449,0.03341392464888591,0.8600000143051147,0.8999999761581421,0.9200000166893005,0.9399999976158142,0.9680000185966492,0.9646153899339529,0.02312175598856617,0.9200000166893005,0.949999988079071,0.9700000286102295,0.9800000190734863,1.0
flow_npe,5000,25000000,N=n^2,g,65,0.853846157514132,0.10339082810757551,0.6620000243186951,0.800000011920929,0.8799999952316284,0.9200000166893005,0.9599999785423279,0.9390769270750192,0.06421943006069998,0.806000006198883,0.9200000166893005,0.9599999785423279,0.9800000190734863,0.9980000019073486,0.9764615444036631,0.04113358135021965,0.8999999761581421,0.9700000286102295,0.9900000095367432,1.0,1.0
flow_npe,5000,25000000,N=n^2,k,65,0.8801538485747117,0.056885090388131984,0.7719999790191651,0.8500000238418579,0.8899999856948853,0.9200000166893005,0.9579999804496765,0.9550769237371591,0.02829107163914248,0.9019999861717224,0.9399999976158142,0.9599999785423279,0.9800000190734863,0.9900000095367432,0.9830769300460815,0.0168562946972416,0.949999988079071,0.9700000286102295,0.9900000095367432,1.0,1.0
gaussian_npe,100,100,N=n,A,101,0.991980198019802,0.037683412849162115,0.96,1.0,1.0,1.0,1.0,0.9980198019801981,0.012167152664464935,1.0,1.0,1.0,1.0,1.0,0.9996039603960397,0.003980148760839961,1.0,1.0,1.0,1.0,1.0
gaussian_npe,100,100,N=n,B,101,0.9401980198019803,0.2261414610283563,0.29,1.0,1.0,1.0,1.0,0.9750495049504951,0.1450698022496497,0.99,1.0,1.0,1.0,1.0,0.9952475247524754,0.03593310616704156,1.0,1.0,1.0,1.0,1.0
