method,n,N,N_label,seed,param,replicate_count,seed_mean_bias,seed_mean_abs_bias,seed_rmse_bias,replicate_bias_q05,replicate_bias_q25,replicate_bias_median,replicate_bias_q75,replicate_bias_q95
flow_npe,1000,1000,N=n,0,g,100,2.2338795137405394,2.2338795137405394,2.235933163096866,2.0701659679412843,2.1727033853530884,2.241603136062622,2.3022148609161377,2.3795693159103393
flow_npe,1000,1000,N=n,1,g,100,2.4410985326766967,2.4410985326766967,2.4450170652008416,2.199793076515198,2.363198757171631,2.4463632106781006,2.5351752042770386,2.658475732803345
flow_npe,1000,1000,N=n,2,g,100,2.4998725986480714,2.4998725986480714,2.500840256463239,2.3952388525009156,2.4506967067718506,2.501164197921753,2.5543296337127686,2.5969618558883667
flow_npe,1000,1000,N=n,3,g,100,1.86979421377182,1.86979421377182,1.8716415680559388,1.737374746799469,1.8212217688560486,1.8710352182388306,1.9307186007499695,2.012630748748779
flow_npe,1000,1000,N=n,4,g,100,1.918938126564026,1.918938126564026,1.9255168994357323,1.6827139496803283,1.7975364923477173,1.9145270586013794,2.0329458713531494,2.1675334215164184
flow_npe,1000,1000,N=n,5,g,100,3.2959943532943727,3.2959943532943727,3.2993152378443793,3.0699996948242188,3.1995311975479126,3.298426389694214,3.3942443132400513,3.52271728515625
flow_npe,1000,1000,N=n,6,g,100,2.409933123588562,2.409933123588562,2.4114318070150773,2.282025194168091,2.3408433198928833,2.4082229137420654,2.4769270420074463,2.535214567184448
flow_npe,1000,1000,N=n,7,g,100,2.0507362937927245,2.0507362937927245,2.0518697494921803,1.9578670859336853,1.988659143447876,2.049654960632324,2.0966607332229614,2.161126732826233
flow_npe,1000,1000,N=n,8,g,100,2.442978148460388,2.442978148460388,2.4450170843062216,2.2813029289245605,2.3818053007125854,2.4487557411193848,2.4993555545806885,2.5977731943130493
flow_npe,1000,1000,N=n,9,g,100,3.048655185699463,3.048655185699463,3.049510536309268,2.9326005458831785,3.0062930583953857,3.047151565551758,3.096334218978882,3.155620002746582
flow_npe,1000,1000,N=n,10,g,100,2.057758536338806,2.057758536338806,2.059197225020021,1.9339260697364806,2.0080249309539795,2.0575737953186035,2.111114501953125,2.1747493028640745
