n,source,seed_count,K_theta_star_count,K_theta_star_mean,K_theta_star_sd,K_theta_star_min,K_theta_star_max,K_theta_star_q05,K_theta_star_q25,K_theta_star_median,K_theta_star_q75,K_theta_star_q95
100,notebooks/plots/gnk_u_space_kl_decomp_20260425_per_seed.csv,101,101,1.244199845171535,2.631046268312052,0.2837863994637714,25.195152408705283,0.3471826984593139,0.4444891901528578,0.6698150320585985,1.2160456453529986,2.477421387927851
500,notebooks/plots/gnk_u_space_kl_decomp_20260425_per_seed.csv,101,101,0.10403670084584807,0.04788353666588306,-0.027904882270905,0.2119535890610878,0.0245739348337466,0.0773320588723087,0.0995346752548343,0.135197038600547,0.1843936315937784
1000,notebooks/plots/gnk_u_space_kl_decomp_20260425_per_seed.csv,101,101,0.05335860738127216,0.04953188360633525,-0.061525940633809,0.1880853601699388,-0.0210949417495403,0.0231736508449516,0.0487071815761955,0.0826875463685572,0.141374267203369
5000,notebooks/plots/gnk_u_space_kl_decomp_20260425_per_seed.csv,101,101,0.003613743545402786,0.052494262726504363,-0.1378368203508647,0.1292731245013469,-0.0863117175944452,-0.0300008085073496,0.0054907877088855,0.0415672940136763,0.0848954674514314
