method,n,N,N_label,seed,param,replicate_count,seed_mean_bias,seed_mean_abs_bias,seed_rmse_bias,replicate_bias_q05,replicate_bias_q25,replicate_bias_median,replicate_bias_q75,replicate_bias_q95
flow_npe,100,100,N=n,0,A,100,-0.6477157402038575,0.6477157402038575,0.6617987669790948,-0.8445422053337097,-0.7476239204406738,-0.6670428514480591,-0.5773347020149231,-0.3970145106315614
flow_npe,100,100,N=n,0,B,100,2.1787073850631713,2.1787073850631713,2.1792229869229773,2.1154847979545592,2.1413291096687317,2.173363447189331,2.2130008935928345,2.2563289523124697
flow_npe,100,100,N=n,0,g,100,1.9158004379272462,1.9158004379272462,1.916254177778298,1.8608952522277833,1.8794696927070618,1.9131098985671997,1.9369162321090698,1.993962037563324
flow_npe,100,100,N=n,0,k,100,3.8399670791625975,3.8399670791625975,3.840091623771323,3.7859607458114626,3.8249670267105103,3.8393940925598145,3.8601003885269165,3.884796714782715
flow_npe,100,100,N=n,1,A,100,0.03469216823577881,0.08564846038818359,0.11979431119036157,-0.1331457734107971,-0.040472209453582764,0.01785135269165039,0.08717334270477295,0.23568249940872182
flow_npe,100,100,N=n,1,B,100,3.2325371074676514,3.2325371074676514,3.232875193039876,3.167298674583435,3.2042144536972046,3.2305774688720703,3.255480170249939,3.3060545682907105
flow_npe,100,100,N=n,1,g,100,2.80698224067688,2.80698224067688,2.8072415453062423,2.7465688943862916,2.777289032936096,2.8073248863220215,2.8352855443954468,2.86695077419281
flow_npe,100,100,N=n,1,k,100,3.6167346954345705,3.6167346954345705,3.6168540634540722,3.5680972814559935,3.5950247049331665,3.619004487991333,3.6365832090377808,3.6628368377685545
flow_npe,100,100,N=n,2,A,100,0.11399616718292237,0.1274784564971924,0.1578110376156884,-0.05959373712539673,0.042785048484802246,0.10354816913604736,0.17198747396469116,0.31074446439743036
flow_npe,100,100,N=n,2,B,100,1.532081024646759,1.532081024646759,1.5334820578963975,1.4419365286827088,1.4909838438034058,1.5266172885894775,1.5685571432113647,1.6350597977638244
flow_npe,100,100,N=n,2,g,100,2.677673592567444,2.677673592567444,2.6778188037753683,2.6375102281570433,2.65913188457489,2.6745333671569824,2.694700241088867,2.7274645805358886
flow_npe,100,100,N=n,2,k,100,3.4164496755599973,3.4164496755599973,3.4166073783514825,3.372740292549133,3.392066478729248,3.4115257263183594,3.436411499977112,3.4766310334205626
flow_npe,100,100,N=n,3,A,100,0.18202630519866944,0.1838285493850708,0.20850329096598988,0.008677625656127931,0.10899817943572998,0.1867152452468872,0.23650527000427246,0.3616087317466736
flow_npe,100,100,N=n,3,B,100,2.30863924741745,2.30863924741745,2.3090383815457085,2.2347947716712953,2.276582717895508,2.3070605993270874,2.34131395816803,2.3730363965034487
flow_npe,100,100,N=n,3,g,100,3.6779768896102905,3.6779768896102905,3.678240965971655,3.6022902011871336,3.650578022003174,3.6828677654266357,3.710429549217224,3.7372801542282104
flow_npe,100,100,N=n,3,k,100,3.168398561477661,3.168398561477661,3.1685052911330915,3.1221560716629027,3.152553915977478,3.1687597036361694,3.184552848339081,3.208084464073181
flow_npe,100,100,N=n,4,A,100,1.517779631614685,1.517779631614685,1.5183465074873854,1.4478568077087401,1.4942314624786377,1.5132298469543457,1.5432180166244507,1.588621973991394
flow_npe,100,100,N=n,4,B,100,3.550508728027344,3.550508728027344,3.5506056106463313,3.51266086101532,3.5355182886123657,3.550147294998169,3.5665618181228638,3.5926533937454224
flow_npe,100,100,N=n,4,g,100,2.2917424488067626,2.2917424488067626,2.291916029035853,2.24705228805542,2.2697906494140625,2.291543960571289,2.3091094493865967,2.3471832275390625
flow_npe,100,100,N=n,4,k,100,4.567913823127746,4.567913823127746,4.5680104916382565,4.509652709960937,4.550766110420227,4.573444604873657,4.586461186408997,4.608863830566406
flow_npe,100,100,N=n,5,A,100,0.08944728136062623,0.11419213056564331,0.15573061936476268,-0.07797091007232666,0.004289388656616211,0.0705111026763916,0.14658260345458984,0.3695922255516052
flow_npe,100,100,N=n,5,B,100,3.314874334335327,3.314874334335327,3.315386299640608,3.2351011753082277,3.2775020599365234,3.3098692893981934,3.341936945915222,3.411783790588379
flow_npe,100,100,N=n,5,g,100,2.738432412147522,2.738432412147522,2.738610381879459,2.6909667015075684,2.717686891555786,2.735605001449585,2.7549984455108643,2.797229266166687
flow_npe,100,100,N=n,5,k,100,4.7033823156356815,4.7033823156356815,4.703458760168002,4.655751752853393,4.684441685676575,4.707427263259888,4.724221110343933,4.742012476921081
flow_npe,100,100,N=n,6,A,100,0.049690933227539064,0.08997292995452881,0.11575662588374074,-0.11161150932312011,-0.03387653827667236,0.04249989986419678,0.09818196296691895,0.2512448191642761
flow_npe,100,100,N=n,6,B,100,3.101986517906189,3.101986517906189,3.1023332070525598,3.0337684869766237,3.0629206895828247,3.0969929695129395,3.1397266387939453,3.178369903564453
flow_npe,100,100,N=n,6,g,100,2.5815226316452025,2.5815226316452025,2.581840836089474,2.510089087486267,2.555660367012024,2.592487096786499,2.6080201864242554,2.6347849369049072
flow_npe,100,100,N=n,6,k,100,2.8620604848861695,2.8620604848861695,2.862177361265849,2.815998303890228,2.8448216915130615,2.8644405603408813,2.87841659784317,2.9050734996795655
flow_npe,100,100,N=n,7,A,100,0.1562151765823364,0.16040283203125,0.20190007400404258,0.0014748096466064497,0.057198524475097656,0.14173007011413574,0.2237614393234253,0.35546621084213254
flow_npe,100,100,N=n,7,B,100,3.684336290359497,3.684336290359497,3.6845532014347144,3.6236316204071044,3.6550230979919434,3.684797763824463,3.7057106494903564,3.7466511487960816
flow_npe,100,100,N=n,7,g,100,2.640385847091675,2.640385847091675,2.640657310007976,2.5901228904724123,2.6167941093444824,2.6364262104034424,2.6598912477493286,2.7163551330566404
flow_npe,100,100,N=n,7,k,100,3.717876124382019,3.717876124382019,3.717958949100835,3.679675579071045,3.7017568349838257,3.716369390487671,3.735782504081726,3.7582162380218507
flow_npe,100,100,N=n,8,A,100,1.0281134915351868,1.0281134915351868,1.0301420697302435,0.9320969223976135,0.9887146353721619,1.0193164348602295,1.0624955892562866,1.1291935443878174
flow_npe,100,100,N=n,8,B,100,3.175462174415588,3.175462174415588,3.1756872812177015,3.119002604484558,3.1483875513076782,3.1799590587615967,3.2034579515457153,3.221489906311035
flow_npe,100,100,N=n,8,g,100,3.45382426738739,3.45382426738739,3.4539516830066095,3.4088515758514406,3.434098720550537,3.452516794204712,3.4715282917022705,3.5049916982650755
flow_npe,100,100,N=n,8,k,100,4.279486632347107,4.279486632347107,4.279591363959389,4.226881098747254,4.261074066162109,4.276670932769775,4.30267608165741,4.33055579662323
flow_npe,100,100,N=n,9,A,100,-0.384308910369873,0.384308910369873,0.39551112368064045,-0.5262510299682617,-0.44571924209594727,-0.3903604745864868,-0.3136494755744934,-0.2395411491394043
flow_npe,100,100,N=n,9,B,100,2.967631504535675,2.967631504535675,2.967782813100791,2.9142989039421083,2.944466292858124,2.970023989677429,2.9890474677085876,3.015421414375305
flow_npe,100,100,N=n,9,g,100,2.292982029914856,2.292982029914856,2.293347148104333,2.222947120666504,2.265200972557068,2.2916510105133057,2.3263907432556152,2.3552783966064452
flow_npe,100,100,N=n,9,k,100,2.9924068546295164,2.9924068546295164,2.9926339710816854,2.9324324250221254,2.9685449600219727,2.9891692399978638,3.0202075839042664,3.0437018871307373
flow_npe,100,100,N=n,10,A,100,-0.012066776752471925,0.1141704535484314,0.1391702629481381,-0.2116267442703247,-0.11045265197753906,-0.03730654716491699,0.0714384913444519,0.23661271333694459
flow_npe,100,100,N=n,10,B,100,3.903002028465271,3.903002028465271,3.903073616431949,3.8665875434875487,3.8859301805496216,3.9031295776367188,3.9192118644714355,3.9417416572570803
flow_npe,100,100,N=n,10,g,100,1.6714797186851502,1.6714797186851502,1.6718568156768627,1.6211466789245605,1.6444953083992004,1.6684986352920532,1.7000766396522522,1.731868827342987
flow_npe,100,100,N=n,10,k,100,3.5933308458328246,3.5933308458328246,3.5934613065817578,3.5456306457519533,3.5717986822128296,3.5970468521118164,3.614558219909668,3.6391794443130494
flow_npe,100,100,N=n,11,A,100,-0.10000494241714478,0.13460514783859254,0.1615253659793834,-0.2766308426856995,-0.18867415189743042,-0.11995232105255127,-0.013817846775054932,0.09769076108932485
flow_npe,100,100,N=n,11,B,100,1.8036005663871766,1.8036005663871766,1.8049575847218546,1.6976938486099242,1.75302654504776,1.7909581661224365,1.8470079898834229,1.9109849095344542
flow_npe,100,100,N=n,11,g,100,3.670145688056946,3.670145688056946,3.670328125605742,3.614195537567139,3.640202283859253,3.666472911834717,3.6945927143096924,3.7347929954528807
flow_npe,100,100,N=n,11,k,100,3.4362511706352232,3.4362511706352232,3.436347695313945,3.3915173053741454,3.4194955229759216,3.438135862350464,3.454322874546051,3.4755055785179136
flow_npe,100,100,N=n,12,A,100,-0.33663970708847046,0.33663970708847046,0.3495956608074559,-0.4877169728279114,-0.3993907570838928,-0.3482320308685303,-0.2719002962112427,-0.17374984025955206
flow_npe,100,100,N=n,12,B,100,1.1995051193237305,1.1995051193237305,1.2018026964307114,1.0791600465774536,1.1566555500030518,1.1937400102615356,1.2428722381591797,1.3186290383338928
flow_npe,100,100,N=n,12,g,100,3.514897861480713,3.514897861480713,3.51505102827945,3.462560224533081,3.491884708404541,3.5189085006713867,3.537275552749634,3.5621292114257814
flow_npe,100,100,N=n,12,k,100,3.6304814291000365,3.6304814291000365,3.6305774726831466,3.5906157970428465,3.6143693923950195,3.6294567584991455,3.6507763862609863,3.670931887626648
flow_npe,100,100,N=n,13,A,100,-0.17483662366867064,0.1887012839317322,0.21077312170952722,-0.33639400005340575,-0.2595670819282532,-0.18036460876464844,-0.12273693084716797,0.018758273124694677
flow_npe,100,100,N=n,13,B,100,3.1678147315979004,3.1678147315979004,3.1679469488588166,3.123422646522522,3.1487345695495605,3.165940523147583,3.190294861793518,3.2148924350738524
flow_npe,100,100,N=n,13,g,100,2.84835440158844,2.84835440158844,2.848491900325034,2.803705024719238,2.830578327178955,2.8489842414855957,2.8672006130218506,2.8924939155578615
