freq_err_nuts_A,nuts_covers95_A,sigma_nuts_A,freq_err_nuts_B,nuts_covers95_B,sigma_nuts_B,freq_err_nuts_g,nuts_covers95_g,sigma_nuts_g,freq_err_nuts_k,nuts_covers95_k,sigma_nuts_k,sigma_ratio_A_flow,centre_dev_A_flow,freq_err_A_flow,pit_A_flow,sigma_ratio_B_flow,centre_dev_B_flow,freq_err_B_flow,pit_B_flow,sigma_ratio_g_flow,centre_dev_g_flow,freq_err_g_flow,pit_g_flow,sigma_ratio_k_flow,centre_dev_k_flow,freq_err_k_flow,pit_k_flow,sigma_ratio_A_gnpe,centre_dev_A_gnpe,freq_err_A_gnpe,pit_A_gnpe,sigma_ratio_B_gnpe,centre_dev_B_gnpe,freq_err_B_gnpe,pit_B_gnpe,sigma_ratio_g_gnpe,centre_dev_g_gnpe,freq_err_g_gnpe,pit_g_gnpe,sigma_ratio_k_gnpe,centre_dev_k_gnpe,freq_err_k_gnpe,pit_k_gnpe,seed
1.0407088979358916,1,0.039899662137031555,0.5733638439551565,1,0.08710644394159317,0.8749257110729842,1,0.15605425834655762,0.6700126380591904,1,0.08361377567052841,1.2127421,-1.021193,0.019515831404071003,0.5065,1.0752385,-1.6012887,-1.0279247801920568,0.8396,2.2366111,-0.63864946,0.23627621883493574,0.4767,3.494062,1.8133551,2.4833676707521377,0.2321,0.9723326,-0.7765819,0.26412699930273925,0.3983,1.2435049,-0.8924646,-0.31910075493346335,0.6209,2.403908,4.05836,4.9332858699023285,0.015,3.2938623,5.243711,5.91372348161734,0.0113,0
1.0655592986514404,1,0.04277333617210388,1.5757024587329624,1,0.09137997776269913,0.738550040898211,1,0.13788731396198273,-0.9136663012825917,1,0.073163241147995,0.862408,-2.4923584,-1.4267990956184875,0.9454,1.0735853,-2.1576495,-0.5819470708603547,0.716,2.46681,2.0029366,2.7414866718517534,0.1072,3.580218,2.5935392,1.6798730402358337,0.3195,1.0234135,-0.22332232,0.8422369855807585,0.2087,1.1879811,-0.68341064,0.892291794420347,0.233,2.3335822,0.57009244,1.308642463614425,0.3018,4.4504385,3.792795,2.879128748394571,0.2882,1
-2.2247500140852003,0,0.03352316841483116,-1.468346225057195,1,0.07636546343564987,1.0750195919488092,1,0.1361050307750702,1.1216953377229806,1,0.07884106040000916,2.3705158,0.84994733,-1.3748026821777597,0.8978,1.2089026,0.47465506,-0.9936911678203215,0.8026,2.0057738,-2.2674608,-1.1924412192268454,0.7598,2.8703914,-1.5175328,-0.39583748351425285,0.5796,1.0016054,0.101609915,-2.123140100682235,0.9821,1.1760145,-0.68726903,-2.1556152587042674,0.9565,2.1124728,-0.30523807,0.7697815182944681,0.3733,4.103281,2.3278272,3.449522522866473,0.2002,2
0.22014667317672065,1,0.03858399763703346,0.05040849997070742,1,0.08495303988456726,0.601611182156359,1,0.14172722399234772,0.9140826081186232,1,0.08274887502193451,1.7575634,0.40523252,0.6253791885984328,0.2853,1.5541934,1.0820504,1.1324589526726587,0.1534,2.2855527,0.7144589,1.31607009160719,0.2644,3.3796618,-0.12879604,0.7852865644802269,0.4072,0.9308821,-0.48570436,-0.2655576789076472,0.6172,1.1605135,-0.8584972,-0.80808868180222,0.7651,2.264283,1.9502897,2.551900910436411,0.125,3.863358,4.968766,5.882848809412548,0.0238,3
-0.06864873845092297,1,0.038613058626651764,0.33740690013295793,1,0.07811016589403152,0.01649475674035967,1,0.14422404766082764,-0.3180119332133814,1,0.07492903620004654,1.1037832,-0.11730426,-0.18595299578953015,0.5703,1.4484406,0.5136565,0.8510633914196316,0.2828,1.9750477,1.3293273,1.345822047396389,0.2337,3.3880694,0.9224353,0.6044233730295059,0.4415,1.0324442,-0.08738852,-0.15603726114348573,0.5678,1.1934417,-0.45100346,-0.11359655101137768,0.5531,2.25164,1.2151667,1.2316614028808792,0.309,4.113274,3.6492758,3.3312639551030374,0.2119,4
0.8619446863957784,1,0.04222160577774048,1.2346275285897024,1,0.09640771150588989,1.2755997340629857,1,0.13674212992191315,0.004067345275386147,1,0.07957357913255692,1.9200773,-0.62382317,0.23812152278287482,0.4048,1.5920835,-1.5185715,-0.2839439538583192,0.6505,1.8483579,-3.0996678,-1.8240681279980437,0.8515,2.4621704,-1.7167395,-1.7126722055844539,0.7644,0.98681515,-0.42835787,0.4335868293144315,0.3299,1.2156252,-1.234468,0.00015951004449588335,0.5151,2.2620096,2.0150747,3.2906743656616513,0.0647,4.0725136,7.0572124,7.061279931012431,0.0117,5
1.4602542577458562,1,0.04120331257581711,1.0418868652932185,1,0.08711712807416916,0.5124846110881689,1,0.1535368710756302,0.3453726229720587,1,0.07867056131362915,2.0287156,-0.6654468,0.7948074351539678,0.2432,1.4714422,0.71582806,1.7577149020714955,0.0483,1.6749792,-1.7437645,-1.2312798770536948,0.8148,2.0282767,-4.0419354,-3.6965628511227973,0.9493,1.0780512,-0.46358848,0.9966657715839258,0.1792,1.1390976,-0.58613575,0.4557510979320964,0.3584,1.5446773,0.69111276,1.2035973537622704,0.224,3.2292137,1.7604058,2.1057783589784775,0.282,6
-1.143645499557392,1,0.03347733989357948,-1.4725087140871338,1,0.06826353073120117,-0.07481616501091891,1,0.14413399994373322,-0.23978542806200484,1,0.07523778825998306,2.389893,2.4988153,1.3551697795750406,0.1146,2.5470297,2.9622579,1.4897491600248673,0.1016,1.8344722,-1.7162378,-1.7910539479847807,0.8565,2.6812527,-3.5750268,-3.8148119797053845,0.9338,1.0747746,0.0037104525,-1.139935047051106,0.8572,1.2981784,0.1272929,-1.3452158089955923,0.851,1.9415276,0.6017607,0.5269445279270902,0.414,4.591556,0.06177747,-0.17800796078922626,0.6351,7
-0.18299278229316385,1,0.03647557273507118,-0.5520834951121694,1,0.07004062831401825,-0.47141296735626964,1,0.15328365564346313,-0.11058681103631034,1,0.07686790078878403,1.0542225,-0.17001805,-0.35301082987951493,0.6422,1.2926883,-0.7360393,-1.2881227705103475,0.8478,2.2121098,1.4725449,1.0011319479576135,0.3431,3.2949574,2.8311963,2.7206095549738856,0.2011,1.058246,-0.3935822,-0.5765749866438057,0.7017,1.2823498,0.45959246,-0.09249104374634469,0.5448,2.2168338,0.95074916,0.4793362142076384,0.4378,4.3095474,-0.02141972,-0.13200653094614878,0.6297,8
0.5078120838400716,1,0.03972265124320984,0.32640132991235077,1,0.09469247609376907,1.6805829012508204,1,0.1411488950252533,1.1946572374464839,1,0.08596926927566528,1.1327798,0.9613774,1.469189441438819,0.0943,1.1202451,1.3229368,1.6493380612741317,0.064,1.7317293,-3.333063,-1.6524800308096983,0.8442,2.2344446,-3.2270064,-2.032349158476765,0.8176,0.93235844,-0.3896071,0.11820498757944317,0.4491,1.2025872,-0.86375123,-0.5373499271287909,0.6922,2.2753518,1.7398291,3.420411974145359,0.0578,3.085053,4.717956,5.912613315306883,0.0069,9
