,count,mean,std,min,10%,50%,90%,max
freq_err_nuts_A,101.0,-0.04964153113419638,1.0581305318742598,-3.148382097301692,-1.526598791667543,0.09557743335913453,1.3570411293526716,2.445572334441152
nuts_covers95_A,101.0,0.9405940594059405,0.2375618731285735,0.0,1.0,1.0,1.0,1.0
sigma_nuts_A,101.0,0.038086910815079617,0.0030976829451818803,0.03093290887773037,0.03433869779109955,0.03807144984602928,0.041723109781742096,0.04732668027281761
freq_err_nuts_B,101.0,0.03728749112598091,1.0695858601115704,-3.1102850549824415,-1.468346225057195,0.08446246614198251,1.3209963470843744,2.5704903613887686
nuts_covers95_B,101.0,0.9306930693069307,0.25524207108446123,0.0,1.0,1.0,1.0,1.0
sigma_nuts_B,101.0,0.07779070340318255,0.006696613707387131,0.06226033344864845,0.0694747120141983,0.07711818814277649,0.08693431317806244,0.09640771150588989
freq_err_nuts_g,101.0,0.07906471648060677,1.021302279876389,-2.421827195952634,-1.3578917829317876,0.2811444836274738,1.2755997340629857,1.9733690390943044
nuts_covers95_g,101.0,0.9603960396039604,0.1959995958775385,0.0,1.0,1.0,1.0,1.0
sigma_nuts_g,101.0,0.15085858246772596,0.018334440763259463,0.11696815490722656,0.13044077157974243,0.1480436772108078,0.17681071162223816,0.2024306356906891
freq_err_nuts_k,101.0,-0.006599341555385261,1.0472599592253822,-3.404728587260945,-1.240423125017808,-0.028710829419986116,1.3754675532685658,2.3978890565904987
nuts_covers95_k,101.0,0.9504950495049505,0.21800172585382793,0.0,1.0,1.0,1.0,1.0
sigma_nuts_k,101.0,0.07603374433399428,0.004244834590996275,0.06624583899974823,0.07119942456483841,0.07520976662635803,0.0820811539888382,0.08600418269634247
sigma_ratio_A_flow,101.0,2.3946666717529297,9.062999725341797,0.8624079823493958,0.9713113307952881,1.236993670463562,2.4420480728149414,92.35037994384766
centre_dev_A_flow,101.0,0.8261665105819702,6.318896293640137,-2.9817869663238525,-1.5346397161483765,-0.06274297088384628,2.0588629245758057,61.665035247802734
freq_err_A_flow,101.0,0.7765249787849431,6.0486339033998915,-2.287796252044582,-1.2486764546477842,0.11413862418606091,1.5089650438901598,59.98413388331661
pit_A_flow,101.0,0.4716623762376238,0.2870475845052472,0.0018,0.0943,0.4705,0.8978,0.9762
sigma_ratio_B_flow,101.0,2.1285386085510254,6.742431640625,0.8588038682937622,1.120245099067688,1.3978192806243896,1.8794220685958862,69.13372039794922
centre_dev_B_flow,101.0,0.9385327100753784,6.870687961578369,-3.2459704875946045,-2.110658645629883,0.3265018165111542,2.5138022899627686,67.10076141357422
freq_err_B_flow,101.0,0.9758202136765423,6.5599010152643755,-2.9159366789680212,-1.2881227705103475,0.30002581542413376,2.113232148227998,65.00914911440944
pit_B_flow,101.0,0.4383207920792078,0.2919209644122298,0.0089,0.064,0.4181,0.8523,0.9968
sigma_ratio_g_flow,101.0,2.3025734424591064,2.269678831100464,1.3786555528640747,1.5763837099075317,2.0325303077697754,2.6814513206481934,24.563322067260742
centre_dev_g_flow,101.0,0.583206295967102,3.084205389022827,-5.019475936889648,-1.9162359237670898,0.3107340335845947,3.304821729660034,22.710573196411133
freq_err_g_flow,101.0,0.6622709474414578,2.8014318494476043,-4.23824884427799,-1.5512658787783309,0.3295065754053884,2.851212773873539,22.61513943819119
pit_g_flow,101.0,0.4538861386138614,0.27775631119011607,0.0181,0.0803,0.4633,0.8168,0.9863
sigma_ratio_k_flow,101.0,3.6893491744995117,5.086476802825928,1.6536909341812134,2.533879041671753,3.25164794921875,3.818650484085083,54.0357666015625
centre_dev_k_flow,101.0,0.5825619697570801,4.108341217041016,-4.17203950881958,-2.965132236480713,-0.1287960410118103,3.7865936756134033,31.575454711914062
freq_err_k_flow,101.0,0.5759626908510928,3.971736215214184,-4.31357403158674,-2.098803050728191,0.015081597135918149,3.260970520657435,32.03464634465555
pit_k_flow,101.0,0.5106772277227724,0.2485863040801677,0.0014,0.1762,0.5205,0.8344,0.9753
sigma_ratio_A_gnpe,101.0,1.0580934286117554,0.06482051312923431,0.8507116436958313,0.9847550392150879,1.0620651245117188,1.1252697706222534,1.2641500234603882
centre_dev_A_gnpe,101.0,-0.15690842270851135,0.2526661157608032,-0.9208435416221619,-0.4635884761810303,-0.13110123574733734,0.1357002705335617,0.36675846576690674
freq_err_A_gnpe,101.0,-0.20654994112212827,1.0303163364446883,-3.0328956875210262,-1.7803640158727503,-0.14659076991223507,1.1726548340577663,2.3026940122331307
pit_A_gnpe,101.0,0.5476079207920792,0.2759200136572802,0.0123,0.1442,0.5506,0.9457,0.9977
sigma_ratio_B_gnpe,101.0,1.2395296096801758,0.10725165158510208,0.9513319134712219,1.1249059438705444,1.230075478553772,1.3627941608428955,1.5634112358093262
centre_dev_B_gnpe,101.0,-0.10670364648103714,0.6269626617431641,-1.827805519104004,-0.9728858470916748,-0.06523489952087402,0.6466806530952454,1.3134058713912964
freq_err_B_gnpe,101.0,-0.06941616223118857,1.2145051768288113,-3.2620606824161555,-1.6259403939984705,-0.11541204155285943,1.475439369917785,3.8838961771829332
pit_B_gnpe,101.0,0.5259247524752475,0.2801343432733447,0.0025,0.1141,0.5531,0.9154,0.9927
sigma_ratio_g_gnpe,101.0,2.0659267902374268,0.35896244645118713,1.3739913702011108,1.5989736318588257,2.0986850261688232,2.4306113719940186,3.8752663135528564
centre_dev_g_gnpe,101.0,0.6477643847465515,1.1672009229660034,-2.2111337184906006,-0.8817640542984009,0.6265024542808533,2.0150747299194336,4.178216934204102
freq_err_g_gnpe,101.0,0.7268291158277072,1.6310405432012154,-3.770093777872107,-1.5949202008926022,0.7509048126210959,2.6478518071449644,4.9332858699023285
