n,N,d_s,d_theta,d_total,seed,method,K_theta_oracle,K_u_oracle,coord_offset,Delta_u_total,Delta_u_mean,Delta_u_cov,Delta_theta_total,scaled_budget,nuts_cache_path,gaussian_npe_dir,posterior_samples_path,nuts_sample_count,gnpe_sample_count,oracle_fit_size,oracle_metric_size,self_consistency_kl_u,self_consistency_metric_size,K_theta_oracle_kl_jitter,K_u_oracle_kl_jitter,theta_clip_count_nuts,qhat_reconstruction,u_affine_note,existing_fresh_resample_diagnostic_source,theta_clip_count_gnpe,qhat_logdet_u,qhat_min_eig_u,oracle_min_eig_u,created_at_utc,commit,sigma_ratio_theta_A,sigma_ratio_theta_B,sigma_ratio_theta_g,sigma_ratio_theta_k,sigma_ratio_u_A,sigma_ratio_u_B,sigma_ratio_u_g,sigma_ratio_u_k
100,100,7,4,11,10,Gaussian-NPE,0.6870050299961641,0.5567150386371617,-0.13028999135900243,10.43114504673579,4.365693467693727,6.065451579042062,10.300855055376786,0.008264462809917356,res/gnk/nuts_cache_v2_n_obs_100_seed_10.pkl,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_10,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_10/posterior_samples.pkl,10000,10000,5000,2000,-0.009381075105305026,2000,0.0,0.0,0,sample_moments_of_saved_Gaussian_NPE_samples_in_logit_theta_over_10_coordinate,exact KL and analytic Gaussian-Gaussian terms are invariant to common diagonal affine standardisation by mu_eta/sigma_eta; finite-sample kNN oracle estimates are eta-coordinate estimates and may differ slightly after diagonal standardisation,not_found_as_machine_readable_cache; recomputed_self_consistency_kl_u_here,0,2.974935979761781,1.3097056358844026,0.001815462770579532,2026-04-25T01:43:25.673014+00:00,4df05eb,17.572740607331223,9.14865310799652,8.341821998988191,9.744858563001753,19.952433399132538,5.676921753781868,6.479570988413305,1.7635617311779417
100,100,7,4,11,11,Gaussian-NPE,0.3471826984593139,0.17985679773395588,-0.167325900725358,10.14298914202845,3.086100610733043,7.056888531295407,9.975663241303092,0.008264462809917356,res/gnk/nuts_cache_v2_n_obs_100_seed_11.pkl,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_11,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_11/posterior_samples.pkl,10000,10000,5000,2000,-0.03345794343075166,2000,0.0,0.0,0,sample_moments_of_saved_Gaussian_NPE_samples_in_logit_theta_over_10_coordinate,exact KL and analytic Gaussian-Gaussian terms are invariant to common diagonal affine standardisation by mu_eta/sigma_eta; finite-sample kNN oracle estimates are eta-coordinate estimates and may differ slightly after diagonal standardisation,not_found_as_machine_readable_cache; recomputed_self_consistency_kl_u_here,0,3.0843221562421332,1.4424635885651822,0.0007673969887643166,2026-04-25T01:43:25.673014+00:00,4df05eb,26.43893972212751,11.926329736091404,5.060958862769993,10.536036023884714,31.49380811829759,5.946957400932898,5.056616226791097,3.026537171457111
100,100,7,4,11,12,Gaussian-NPE,0.4444891901528578,0.505845553974914,0.061356363822056226,11.61962795503119,5.129905106450568,6.489722848580621,11.680984318853247,0.008264462809917356,res/gnk/nuts_cache_v2_n_obs_100_seed_12.pkl,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_12,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_12/posterior_samples.pkl,10000,10000,5000,2000,0.021008001700724345,2000,0.0,0.0,0,sample_moments_of_saved_Gaussian_NPE_samples_in_logit_theta_over_10_coordinate,exact KL and analytic Gaussian-Gaussian terms are invariant to common diagonal affine standardisation by mu_eta/sigma_eta; finite-sample kNN oracle estimates are eta-coordinate estimates and may differ slightly after diagonal standardisation,not_found_as_machine_readable_cache; recomputed_self_consistency_kl_u_here,0,2.6655763370569483,1.43119966990323,0.0006638333803051562,2026-04-25T01:43:25.673014+00:00,4df05eb,25.53703442704383,13.32956177286412,3.80209803305822,10.64294100009082,28.636289136476794,6.475445704284469,3.365204091191954,2.15790184638968
100,100,7,4,11,13,Gaussian-NPE,0.8611468750359383,0.49864077576609317,-0.3625060992698452,5.2795312511358725,0.46413258429875914,4.815398666837114,4.917025151866027,0.008264462809917356,res/gnk/nuts_cache_v2_n_obs_100_seed_13.pkl,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_13,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_13/posterior_samples.pkl,10000,10000,5000,2000,-0.01454058553126043,2000,0.0,0.0,0,sample_moments_of_saved_Gaussian_NPE_samples_in_logit_theta_over_10_coordinate,exact KL and analytic Gaussian-Gaussian terms are invariant to common diagonal affine standardisation by mu_eta/sigma_eta; finite-sample kNN oracle estimates are eta-coordinate estimates and may differ slightly after diagonal standardisation,not_found_as_machine_readable_cache; recomputed_self_consistency_kl_u_here,0,-1.0730068016447223,0.010789443217741054,0.00047675803285076066,2026-04-25T01:43:25.673014+00:00,4df05eb,5.944314915704883,9.009576338838492,2.8739466036387413,11.006824358058633,5.838442898631049,4.847077411794014,3.61744663561475,7.020010895987495
100,100,7,4,11,14,Gaussian-NPE,1.543890626344949,1.6532669886908198,0.10937636234587078,10.392784022800685,6.541914555840978,3.850869466959707,10.502160385146556,0.008264462809917356,res/gnk/nuts_cache_v2_n_obs_100_seed_14.pkl,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_14,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_14/posterior_samples.pkl,10000,10000,5000,2000,0.037849111802496824,2000,1e-12,1e-12,0,sample_moments_of_saved_Gaussian_NPE_samples_in_logit_theta_over_10_coordinate,exact KL and analytic Gaussian-Gaussian terms are invariant to common diagonal affine standardisation by mu_eta/sigma_eta; finite-sample kNN oracle estimates are eta-coordinate estimates and may differ slightly after diagonal standardisation,not_found_as_machine_readable_cache; recomputed_self_consistency_kl_u_here,0,-0.912664445117764,0.06782758635679072,0.0007496520103333923,2026-04-25T01:43:25.673014+00:00,4df05eb,7.961222863681539,10.002638730059124,1.7556025977368126,8.261930335115464,7.91860190749824,5.713925663896186,1.896496260348883,2.16485840883363
100,100,7,4,11,15,Gaussian-NPE,0.28378639946377143,0.3729040410033852,0.08911764153961377,8.86605322507574,2.232792365093033,6.633260859982707,8.955170866615354,0.008264462809917356,res/gnk/nuts_cache_v2_n_obs_100_seed_15.pkl,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_15,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_15/posterior_samples.pkl,10000,10000,5000,2000,0.013939524535614329,2000,0.0,0.0,0,sample_moments_of_saved_Gaussian_NPE_samples_in_logit_theta_over_10_coordinate,exact KL and analytic Gaussian-Gaussian terms are invariant to common diagonal affine standardisation by mu_eta/sigma_eta; finite-sample kNN oracle estimates are eta-coordinate estimates and may differ slightly after diagonal standardisation,not_found_as_machine_readable_cache; recomputed_self_consistency_kl_u_here,0,2.866411831431286,0.6361300628252601,0.000864744776948642,2026-04-25T01:43:25.673014+00:00,4df05eb,15.726038129584712,12.841812200160538,6.224360016933576,13.362409263085038,17.462515068153532,7.176476187502601,6.038889136630704,2.703333546060114
100,100,7,4,11,16,Gaussian-NPE,1.5178228116021717,1.115147844270299,-0.4026749673318728,9.762648719829008,5.130107292041642,4.632541427787365,9.359973752497135,0.008264462809917356,res/gnk/nuts_cache_v2_n_obs_100_seed_16.pkl,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_16,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_16/posterior_samples.pkl,10000,10000,5000,2000,0.052659783961031215,2000,0.0,0.0,0,sample_moments_of_saved_Gaussian_NPE_samples_in_logit_theta_over_10_coordinate,exact KL and analytic Gaussian-Gaussian terms are invariant to common diagonal affine standardisation by mu_eta/sigma_eta; finite-sample kNN oracle estimates are eta-coordinate estimates and may differ slightly after diagonal standardisation,not_found_as_machine_readable_cache; recomputed_self_consistency_kl_u_here,0,1.8681329881136777,0.8567065627562823,0.0018970307093535007,2026-04-25T01:43:25.673014+00:00,4df05eb,15.196319212324168,10.935404258658204,1.5966966573637424,10.09423110465217,16.789337162618317,6.888075325467959,1.3377547290633853,1.5965437103871487
100,100,7,4,11,17,Gaussian-NPE,0.7877466736428737,0.6855517507617052,-0.10219492288116849,7.975951087019725,2.3674027953344954,5.60854829168523,7.873756164138556,0.008264462809917356,res/gnk/nuts_cache_v2_n_obs_100_seed_17.pkl,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_17,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_17/posterior_samples.pkl,10000,10000,5000,2000,0.0008363502507509357,2000,0.0,0.0,0,sample_moments_of_saved_Gaussian_NPE_samples_in_logit_theta_over_10_coordinate,exact KL and analytic Gaussian-Gaussian terms are invariant to common diagonal affine standardisation by mu_eta/sigma_eta; finite-sample kNN oracle estimates are eta-coordinate estimates and may differ slightly after diagonal standardisation,not_found_as_machine_readable_cache; recomputed_self_consistency_kl_u_here,0,2.684978202789499,1.053281699111845,0.0013402030255767622,2026-04-25T01:43:25.673014+00:00,4df05eb,21.344640119053157,8.194360177172971,3.3531865571276165,6.631360358044344,24.084859252581147,4.363657415280856,2.4728299482070106,3.4533666276680663
100,100,7,4,11,18,Gaussian-NPE,1.1617923235247762,1.1952684457698495,0.033476122245073237,8.600327382583282,3.469068039240861,5.131259343342421,8.633803504828355,0.008264462809917356,res/gnk/nuts_cache_v2_n_obs_100_seed_18.pkl,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_18,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_18/posterior_samples.pkl,10000,10000,5000,2000,0.059915165014112565,2000,1e-12,1e-12,0,sample_moments_of_saved_Gaussian_NPE_samples_in_logit_theta_over_10_coordinate,exact KL and analytic Gaussian-Gaussian terms are invariant to common diagonal affine standardisation by mu_eta/sigma_eta; finite-sample kNN oracle estimates are eta-coordinate estimates and may differ slightly after diagonal standardisation,not_found_as_machine_readable_cache; recomputed_self_consistency_kl_u_here,0,-1.711973216938268,0.008818221860820558,0.0004049464960079543,2026-04-25T01:43:25.673014+00:00,4df05eb,4.962820370164105,14.148025788768496,7.6782361453221775,10.265065537111514,4.759880228345294,9.348809696379334,7.395614545370377,1.7888360806839583
100,100,7,4,11,19,Gaussian-NPE,0.44274447370514564,0.3340336308779724,-0.10871084282717325,10.057693290338724,3.2943925876856497,6.7633007026530745,9.94898244751155,0.008264462809917356,res/gnk/nuts_cache_v2_n_obs_100_seed_19.pkl,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_19,res/gnk/gaussian_npe_n_obs_100_n_sims_100_seed_19/posterior_samples.pkl,10000,10000,5000,2000,-0.0865857775084166,2000,0.0,0.0,0,sample_moments_of_saved_Gaussian_NPE_samples_in_logit_theta_over_10_coordinate,exact KL and analytic Gaussian-Gaussian terms are invariant to common diagonal affine standardisation by mu_eta/sigma_eta; finite-sample kNN oracle estimates are eta-coordinate estimates and may differ slightly after diagonal standardisation,not_found_as_machine_readable_cache; recomputed_self_consistency_kl_u_here,0,2.7775997837184274,1.2747922387220427,0.0008562762448481603,2026-04-25T01:43:25.673014+00:00,4df05eb,20.208129480991058,10.99795430483022,7.132206073313972,10.35095616074486,23.35467955031199,7.035067040189373,6.238745443132174,1.7655087255870519
