n_obs,n_sims,budget_label,kl_flow,kl_gaussian_npe,kl_oracle,delta_family,delta_train,sigma_g_flow_over_nuts,sigma_g_gnpe_over_nuts,sigma_k_flow_over_nuts,sigma_k_gnpe_over_nuts,oos_gnpe,oos_flow
1000,1000,n,9.700025646026326,10.365610121105776,0.046184492520966555,-9.65384115350536,10.31942562858481,17.708141414006057,17.90020288640328,26.343118346550998,32.674134222311565,0.0,0.0
1000,6907,n log n,5.644468892691346,5.790839736012666,0.046184492520966555,-5.59828440017038,5.7446552434916995,11.468506354492064,17.250895503452007,13.670347490323898,16.324535711627096,0.0,0.0
1000,31622,n^1.5,4.89870922611473,3.938086004685303,0.046184492520966555,-4.852524733593763,3.8919015121643366,5.654630584428258,5.118382822241295,5.791994205999646,4.8428596349034345,0.0,0.0
1000,1000000,n^2,2.174407735526879,2.2871461825843005,0.046184492520966555,-2.1282232430059125,2.240961690063334,2.4668131489063434,2.3335867882414503,3.5802148167179966,4.450439127506807,0.0,0.0
5000,5000,n,7.200895467353104,7.6136334801765155,0.005286111205772094,-7.195609356147331,7.608347368970743,9.10842530595755,22.370321049308224,16.70385325331976,26.22565917995584,0.0,0.0
5000,42585,n log n,3.149484997569793,4.792072272453737,0.005286111205772094,-3.144198886364021,4.7867861612479645,3.766405968410601,4.125239394962131,6.8258327525522775,8.446133164590922,0.0,0.0
5000,353553,n^1.5,3.3127455300768225,2.279095161724218,0.005286111205772094,-3.3074594188710504,2.273809050518446,2.8110008173877405,3.8888369350023524,3.9956205332478554,8.436286766693353,0.0,0.0
5000,25000000,n^2,,1.3062535552111143,0.005286111205772094,,1.3009674440053423,,2.0561867037843946,,4.547465644940632,0.0,
