delta0,seed,n_obs,n_sims,kl
0.01,25,1000,6907,11.47357480885166
0.01,26,1000,6907,11.597077183679724
0.01,27,1000,6907,11.1108803487203
0.01,28,1000,6907,10.99240889151413
0.01,29,1000,6907,11.763813767715721
0.01,30,1000,6907,11.297623307303198
0.01,31,1000,6907,11.587978509263724
0.01,32,1000,6907,11.562832981691116
0.01,33,1000,6907,11.53779760425645
0.01,34,1000,6907,11.159387242531565
0.01,35,1000,6907,10.953485182156536
0.01,36,1000,6907,11.256901343322156
0.01,37,1000,6907,11.419681472094036
0.01,38,1000,6907,11.53573328991979
0.01,39,1000,6907,11.375050531481195
0.01,40,1000,6907,11.317261141913587
0.01,41,1000,6907,11.24622996245485
0.01,42,1000,6907,11.48349579458961
0.01,43,1000,6907,11.187749845468545
0.01,44,1000,6907,11.432260645461
0.01,45,1000,6907,11.622215084119361
0.01,46,1000,6907,11.259246053366537
0.01,47,1000,6907,11.180097672756904
0.01,48,1000,6907,11.230103713348475
0.01,49,1000,6907,11.531007045650743
0.01,50,1000,6907,11.201660338660886
0.01,51,1000,6907,11.216196157629948
0.01,52,1000,6907,11.559768530366652
0.01,53,1000,6907,11.145428738038671
0.01,54,1000,6907,11.357790570911385
0.01,55,1000,6907,11.453515706297837
0.01,56,1000,6907,11.594303180486314
0.01,57,1000,6907,11.18151867680203
0.01,58,1000,6907,11.758200553191429
0.01,59,1000,6907,11.48358640397117
0.01,60,1000,6907,10.863532047658584
0.01,61,1000,6907,11.449546676789877
0.01,62,1000,6907,11.27839941378108
0.01,63,1000,6907,11.333112110411513
0.01,64,1000,6907,11.306555452546792
0.01,65,1000,6907,11.54704595226654
0.01,66,1000,6907,11.458643176236347
0.01,67,1000,6907,11.120897612207374
0.01,68,1000,6907,10.982640619820007
0.01,69,1000,6907,11.130422488370808
0.01,70,1000,6907,11.656205789010091
0.01,71,1000,6907,11.093474295351596
0.01,72,1000,6907,11.155535115172583
0.01,73,1000,6907,11.576913155530619
0.01,74,1000,6907,11.595476572978987
0.01,75,1000,6907,11.517916595804982
0.01,76,1000,6907,11.207216937236028
0.01,77,1000,6907,11.406999148535538
0.01,78,1000,6907,11.210532217709625
0.01,79,1000,6907,11.09864209001805
0.01,80,1000,6907,11.485397922135489
0.01,81,1000,6907,11.31013626618955
0.01,82,1000,6907,11.573261051017656
0.01,83,1000,6907,11.54762664501748
0.01,84,1000,6907,10.958333420496142
0.01,85,1000,6907,11.59810123259074
0.01,86,1000,6907,11.392831823755836
