parameter,NUTS median,NUTS sd,BSL median,BSL sd,R-hat,ESS,acceptance rate,KL_BSL_unique_to_NUTS,KL_NUTS_to_BSL_unique
A,3.0390546321868896,0.039899662137031555,3.0391881465911865,0.03948583826422691,1.0006547903386904,1200.6353885079416,0.2808,0.022360407448214593,0.02448416954302716
B,1.0452052354812622,0.08710644394159317,1.0497570037841797,0.08662190288305283,1.0023560610866826,1273.5882534517812,0.2808,0.022360407448214593,0.02448416954302716
g,2.132430076599121,0.15605425834655762,2.141763210296631,0.15931309759616852,1.006016911919014,1091.467265266118,0.2808,0.022360407448214593,0.02448416954302716
k,0.5537400245666504,0.08361377567052841,0.5518882274627686,0.0858127772808075,1.0015920852455205,1304.352154994166,0.2808,0.022360407448214593,0.02448416954302716
