method,standardisation,seed,n_obs,N_sims,theta_kl,status
flow_npe,robust_asinh_median_iqr,0,1000,1000000,1.21539506561,finite_metric
flow_npe,robust_asinh_median_iqr,1,1000,1000000,0.906301055754,finite_metric
flow_npe,robust_asinh_median_iqr,2,1000,1000000,1.14894043098,finite_metric
flow_npe,robust_asinh_median_iqr,3,1000,1000000,0.659868257349,finite_metric
flow_npe,robust_asinh_median_iqr,4,1000,1000000,1.05919466079,finite_metric
flow_npe,robust_asinh_median_iqr,5,1000,1000000,1.5863779652,finite_metric
flow_npe,robust_asinh_median_iqr,6,1000,1000000,1.06404001757,finite_metric
flow_npe,robust_asinh_median_iqr,7,1000,1000000,0.882667267174,finite_metric
flow_npe,robust_asinh_median_iqr,8,1000,1000000,0.781717850067,finite_metric
flow_npe,robust_asinh_median_iqr,9,1000,1000000,1.17255235827,finite_metric
flow_npe,robust_asinh_median_iqr,10,1000,1000000,0.756979972391,finite_metric
flow_npe,robust_asinh_median_iqr,11,1000,1000000,1.51781617335,finite_metric
flow_npe,robust_asinh_median_iqr,12,1000,1000000,1.15763729523,finite_metric
flow_npe,robust_asinh_median_iqr,13,1000,1000000,3.54562608289,finite_metric
flow_npe,robust_asinh_median_iqr,14,1000,1000000,1.02534047661,finite_metric
flow_npe,robust_asinh_median_iqr,0,1000,3000000,0.951704990839,finite_metric
flow_npe,robust_asinh_median_iqr,1,1000,3000000,0.898407333043,finite_metric
flow_npe,robust_asinh_median_iqr,2,1000,3000000,0.796183282514,finite_metric
flow_npe,robust_asinh_median_iqr,3,1000,3000000,0.757271287253,finite_metric
flow_npe,robust_asinh_median_iqr,4,1000,3000000,0.906027829207,finite_metric
flow_npe,robust_asinh_median_iqr,5,1000,3000000,1.07329324008,finite_metric
flow_npe,robust_asinh_median_iqr,6,1000,3000000,5.79118784558,finite_metric
flow_npe,robust_asinh_median_iqr,7,1000,3000000,0.930475474872,finite_metric
flow_npe,robust_asinh_median_iqr,8,1000,3000000,1.17534135455,finite_metric
flow_npe,robust_asinh_median_iqr,9,1000,3000000,,missing
flow_npe,robust_asinh_median_iqr,10,1000,3000000,0.747683880745,finite_metric
flow_npe,robust_asinh_median_iqr,11,1000,3000000,1.31179395245,finite_metric
flow_npe,robust_asinh_median_iqr,12,1000,3000000,1.16483859872,finite_metric
flow_npe,robust_asinh_median_iqr,13,1000,3000000,2.26638697039,finite_metric
flow_npe,robust_asinh_median_iqr,14,1000,3000000,,missing
flow_npe,standard_zscore_baseline,0,1000,1000000,2.4166687990569033,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,1,1000,1000000,2.174407735526879,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,2,1000,1000000,1.9018561013548976,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,3,1000,1000000,1.5942526960277144,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,4,1000,1000000,1.9358506187378526,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,5,1000,1000000,1.8070053788561715,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,6,1000,1000000,2.2529703326188892,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,7,1000,1000000,2.543026906743822,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,8,1000,1000000,1.5451197418524132,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,9,1000,1000000,2.1433594505794415,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,10,1000,1000000,2.1798374396171876,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,11,1000,1000000,1.7729184491685201,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,12,1000,1000000,2.4730716234753007,baseline_from_v3_csv
