cell,method,param,x,density
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9330442999746107,0.0699758200429696
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.934352495354246,0.0785227539632202
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.935660690733881,0.0887069261097221
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9369688861135166,0.1011269739192032
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9382770814931516,0.1164759489443399
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.939585276872787,0.1355175649865148
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9408934722524225,0.1590426216826138
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9422016676320575,0.1878061224603893
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.943509863011693,0.2224530197827977
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9448180583913284,0.2634467594061133
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9461262537709634,0.3110169424866474
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.947434449150599,0.3651390311357052
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9487426445302343,0.4255508579363386
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9500508399098693,0.4918005642058424
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9513590352895047,0.5633122859015355
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9526672306691397,0.6394527483771586
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.953975426048775,0.7195853638882596
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9552836214284106,0.8031072227088165
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9565918168080456,0.8894748221502866
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.957900012187681,0.9782315702274594
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9592082075673165,1.0690499546428576
