method,seed,n_obs,d_s,d,N_sims,N_over_d2n,theta_kl,cross_entropy,status
flow_npe,6,1000,3,5,250000,10.0,-0.039286619566069256,-3.3503653761250023,complete
flow_npe,7,1000,3,5,250000,10.0,0.016506508159559265,-3.2836096149860934,complete
flow_npe,0,1000,3,5,500000,20.0,0.025897811224936916,-3.1252906243851006,complete
flow_npe,1,1000,3,5,500000,20.0,0.019502426614804662,-3.2701463415094696,complete
flow_npe,2,1000,3,5,500000,20.0,-0.15510311138188437,-3.2943751319701056,complete
flow_npe,3,1000,3,5,500000,20.0,0.044659293810745015,-3.4901571324319893,complete
flow_npe,4,1000,3,5,500000,20.0,0.05962610341753183,-3.227475883187077,complete
flow_npe,5,1000,3,5,500000,20.0,0.03795078449960247,-3.4405329736201473,complete
flow_npe,6,1000,3,5,500000,20.0,0.08620580855721559,-3.3705143415980663,complete
flow_npe,7,1000,3,5,500000,20.0,0.05755816665155404,-3.291974786190655,complete
flow_npe,0,1000,5,7,245000,5.0,0.004945823324028341,-3.9092336179568807,complete
flow_npe,1,1000,5,7,245000,5.0,0.08753187261445755,-4.233416753132953,complete
flow_npe,2,1000,5,7,245000,5.0,-0.05392289992138326,-4.021660558486253,complete
flow_npe,3,1000,5,7,245000,5.0,0.04528741027955155,-4.214273101172845,complete
flow_npe,4,1000,5,7,245000,5.0,0.011148774757307505,-3.7548220731780995,complete
flow_npe,5,1000,5,7,245000,5.0,0.028387472976347205,-4.170020521253311,complete
flow_npe,6,1000,5,7,245000,5.0,0.050245368686766684,-4.026723534737336,complete
flow_npe,7,1000,5,7,245000,5.0,-0.007778053494107134,-3.9638385052039906,complete
flow_npe,0,1000,5,7,490000,10.0,0.04748208120928735,-3.937563147194946,complete
flow_npe,1,1000,5,7,490000,10.0,0.03729595373363412,-4.2767814411372544,complete
flow_npe,2,1000,5,7,490000,10.0,0.055507391752933496,-4.040139654386544,complete
flow_npe,3,1000,5,7,490000,10.0,-0.08004959448920024,-4.2446189613929555,complete
flow_npe,4,1000,5,7,490000,10.0,0.03330233577439837,-3.7878957518721417,complete
flow_npe,5,1000,5,7,490000,10.0,-0.0011660052854356668,-4.190354865926942,complete
flow_npe,6,1000,5,7,490000,10.0,0.13095205291764808,-3.9969971456574167,complete
flow_npe,7,1000,5,7,490000,10.0,0.03977880789474836,-3.970350343772734,complete
flow_npe,0,1000,5,7,980000,20.0,-0.0223961450068035,-3.9191729677801406,complete
flow_npe,1,1000,5,7,980000,20.0,0.0036737393231074814,-4.257369483065283,complete
flow_npe,2,1000,5,7,980000,20.0,0.02908516103469276,-4.0465560581041755,complete
flow_npe,3,1000,5,7,980000,20.0,0.013486939657405666,-4.240295680182005,complete
flow_npe,4,1000,5,7,980000,20.0,0.18513368737489244,-3.685182479718855,complete
flow_npe,5,1000,5,7,980000,20.0,-0.01409643320066894,-4.179858213289352,complete
flow_npe,6,1000,5,7,980000,20.0,0.06271762709280951,-4.0306488598724926,complete
flow_npe,7,1000,5,7,980000,20.0,0.011311740251226755,-4.005589664752116,complete
flow_npe,0,1000,7,9,1620000,20.0,0.00024981167320524704,-4.027124967387556,complete
flow_npe,1,1000,7,9,1620000,20.0,0.05291508237311218,-4.153943730226221,complete
flow_npe,2,1000,7,9,1620000,20.0,-0.020470756586007964,-4.115245429197784,complete
flow_npe,3,1000,7,9,1620000,20.0,0.049683167875628445,-4.246637468325782,complete
flow_npe,4,1000,7,9,1620000,20.0,0.05645840202034172,-3.9197875473812664,complete
flow_npe,5,1000,7,9,1620000,20.0,0.032535059504740366,-4.263899179632547,complete
flow_npe,6,1000,7,9,1620000,20.0,0.0906186938592841,-4.242313918833813,complete
flow_npe,7,1000,7,9,1620000,20.0,0.12148574505627349,-4.067715435997242,complete
flow_npe,0,1000,7,9,405000,5.0,-0.04441564517992942,-4.062588516609219,complete
flow_npe,1,1000,7,9,405000,5.0,0.05661822463174457,-4.1145882887106,complete
flow_npe,2,1000,7,9,405000,5.0,0.17302045384252907,-4.004733792058002,complete
flow_npe,3,1000,7,9,405000,5.0,0.0567913656743594,-4.265395147472551,complete
flow_npe,4,1000,7,9,405000,5.0,0.06418079200888768,-3.9711173298261966,complete
flow_npe,5,1000,7,9,405000,5.0,0.08341437526005636,-4.200223548952396,complete
flow_npe,6,1000,7,9,405000,5.0,-0.012710619901406947,-4.263694384072627,complete
flow_npe,7,1000,7,9,405000,5.0,0.06834997936646825,-4.055325328379732,complete
flow_npe,0,1000,7,9,810000,10.0,0.010522600157183067,-4.008049591742426,complete
flow_npe,1,1000,7,9,810000,10.0,-0.02647794798473305,-4.1291348429067005,complete
flow_npe,2,1000,7,9,810000,10.0,0.0251053835764985,-4.06561507794018,complete
flow_npe,3,1000,7,9,810000,10.0,0.028708263274360112,-4.2477339621937045,complete
flow_npe,4,1000,7,9,810000,10.0,-0.039676432622669205,-3.948243892858825,complete
flow_npe,5,1000,7,9,810000,10.0,-0.08338058159280404,-4.25104564766625,complete
flow_npe,6,1000,7,9,810000,10.0,-0.023952476702603632,-4.256947394214898,complete
flow_npe,7,1000,7,9,810000,10.0,0.0163557435114464,-4.08122642387789,complete
gaussian_npe,0,1000,11,13,1690000,10.0,0.09556797494989408,-3.8754471030606545,complete
gaussian_npe,1,1000,11,13,1690000,10.0,0.00895196154927885,-4.151492122261287,complete
gaussian_npe,2,1000,11,13,1690000,10.0,0.07888476699391853,-4.1101963808948145,complete
gaussian_npe,3,1000,11,13,1690000,10.0,0.209326029853011,-4.204072743555769,complete
gaussian_npe,4,1000,11,13,1690000,10.0,0.05319629903678681,-3.9302752596436865,complete
gaussian_npe,5,1000,11,13,1690000,10.0,0.030795791219662333,-4.090914962403947,complete
gaussian_npe,6,1000,11,13,1690000,10.0,-0.02475562631758499,-4.256820698913355,complete
gaussian_npe,7,1000,11,13,1690000,10.0,-0.034634524758783924,-4.029677493132112,complete
