method,source,n,N,N_label,seed,param,x,density
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.10776942355889,0.001098406392750947
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.15789473684211,0.0011594217566672338
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.20802005012531,0.0012244903839103833
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.25814536340852,0.001293838855614783
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.30827067669173,0.0013677030914024818
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.35839598997494,0.0014463284411444233
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.40852130325814,0.0015299697568581122
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.45864661654136,0.0016188914459359736
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.50877192982456,0.001713367507491951
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.55889724310777,0.0018136815542426485
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.60902255639098,0.0019201268229991652
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.65914786967419,0.002033006177527764
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.70927318295739,0.0021526321082368655
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.7593984962406,0.0022793267338499065
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.80952380952381,0.002413421810926376
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.85964912280701,0.0025552587577777376
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.90977443609023,0.0027051886999857103
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,93.95989974937343,0.00286357254535175
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.01002506265664,0.003030781096676238
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.06015037593986,0.0032071952112723797
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.11027568922306,0.00339320601654352
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.16040100250626,0.0035892151912913293
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.21052631578948,0.0037956353226432094
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.26065162907268,0.004012890348599411
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.31077694235589,0.004241416096169376
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.3609022556391,0.004481660924893327
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.41102756892231,0.0047340864852114155
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.46115288220551,0.004999168600637863
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.51127819548873,0.005277398282014788
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.56140350877193,0.005569282881242958
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.61152882205513,0.0058753473908250715
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.66165413533835,0.006196135894279049
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.71177944862156,0.006532213171011871
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.76190476190476,0.006884166457567457
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.81203007518798,0.007252607365276131
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.86215538847118,0.007638173952264794
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.91228070175438,0.008041532945510785
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,94.9624060150376,0.008463382106176143
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.0125313283208,0.008904452728840582
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.06265664160401,0.009365512262476759
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.11278195488723,0.009847367038110422
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.16290726817043,0.010350865085080478
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.21303258145363,0.010876899014716763
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.26315789473684,0.011426408947066842
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.31328320802005,0.012000385453115447
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.36340852130326,0.012599872481721276
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.41353383458646,0.013225970237332917
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.46365914786968,0.013879837971440519
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.51378446115288,0.014562696647720393
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.56390977443608,0.015275831437995031
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.6140350877193,0.016020594003448976
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.6641604010025,0.016798404513134062
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.71428571428571,0.017610753349617224
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.76441102756893,0.018459202449787646
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.81453634085213,0.019345386227345652
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.86466165413533,0.02027101202239543
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.91478696741855,0.021237860022913682
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,95.96491228070175,0.02224778260266237
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.01503759398496,0.023302703020465346
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.06516290726817,0.024404613426608657
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.11528822055138,0.025555572123593853
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.16541353383458,0.026757700030511634
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.2155388471178,0.02801317630297443
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.265664160401,0.029324233063885548
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.3157894736842,0.030693149204281688
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.36591478696742,0.03212224321816943
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.41604010025063,0.03361386504056929
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.46616541353383,0.035170386864026834
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.51629072681705,0.036794192915475595
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.56641604010025,0.038487668182671395
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.61654135338345,0.040253186087380044
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.66666666666667,0.042093095110991685
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.71679197994987,0.044009704387399914
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.76691729323308,0.046005268287557397
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.8170426065163,0.04808197003022593
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.8671679197995,0.050241904363926254
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.9172932330827,0.05248705937591368
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,96.96741854636592,0.05481929749509642
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.01754385964912,0.05724033576705821
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.06766917293233,0.05975172549073261
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.11779448621554,0.06235483131754163
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.16791979949875,0.06505080992509633
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.21804511278195,0.06784058838848141
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.26817042606517,0.07072484238281497
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.31829573934837,0.07370397436091931
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.36842105263158,0.0767780918595214
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.41854636591479,0.07994698609625095
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.468671679198,0.08321011102767431
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.5187969924812,0.08656656304566804
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.56892230576442,0.09001506149527372
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.61904761904762,0.09355393020189591
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.66917293233082,0.09718108019896964
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.71929824561403,0.10089399384907784
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.76942355889724,0.10468971055171442
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.81954887218045,0.10856481422945477
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.86967418546365,0.11251542278110624
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.91979949874687,0.1165371796852599
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,97.96992481203007,0.12062524793077849
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.02005012531328,0.12477430644177738
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.0701754385965,0.12897854915369908
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.1203007518797,0.1332316868842752
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.1704260651629,0.13752695212819632
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.22055137844612,0.141857106887594
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.27067669172932,0.14621445363164823
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.32080200501252,0.1505908494583067
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.37092731829574,0.15497772350882524
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.42105263157895,0.15936609766221868
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.47117794486215,0.16374661051168526
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.52130325814537,0.1681095445986659
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.57142857142857,0.17244485685311323
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.62155388471177,0.1767422121604239
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.67167919799499,0.18099101994698794
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.7218045112782,0.1851804736475709
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.7719298245614,0.18929959288903814
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.82205513784461,0.1933372681965137
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.87218045112782,0.19728230800040228
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.92230576441102,0.20112348769597502
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,98.97243107769424,0.204849600481653
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.02255639097744,0.20844950967844608
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.07268170426065,0.21191220221091397
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.12280701754386,0.21522684291037508
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.17293233082707,0.21838282928388558
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.22305764411027,0.22136984637806978
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.27318295739349,0.2241779213554668
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.32330827067669,0.22679747739289713
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.3734335839599,0.229219386506699
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.42355889724311,0.23143502090840862
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.47368421052632,0.23343630249719363
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.52380952380952,0.23521575010155996
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.57393483709274,0.23676652409312166
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.62406015037594,0.2380824680091448
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.67418546365914,0.23915814683828687
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.72431077694236,0.23998888164537854
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.77443609022556,0.24057078023585265
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.82456140350877,0.2409007635886374
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.87468671679198,0.24097658781751669
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.92481203007519,0.24079686145487283
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,99.97493734335839,0.24036105788821477
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.02506265664161,0.23966952281834913
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.07518796992481,0.2387234766482495
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.12531328320802,0.2375250117531876
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.17543859649123,0.2360770846250227
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.22556390977444,0.23438350292625737
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.27568922305764,0.23244890753213962
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.32581453634086,0.2302787496812243
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.37593984962406,0.22787926339595083
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.42606516290726,0.22525743337441004
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.47619047619048,0.22242095859239286
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.52631578947368,0.21937821189014065
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.57644110275689,0.21613819585112878
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.6265664160401,0.2127104953098819
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.67669172932331,0.2091052268521927
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.72681704260651,0.20533298569379932
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.77694235588973,0.2014047903424333
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.82706766917293,0.19733202546287032
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.87719298245614,0.19312638337511387
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.92731829573935,0.1887998046222426
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,100.97744360902256,0.18436441804626877
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.02756892230576,0.17983248080809403
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.07769423558898,0.1752163187812024
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.12781954887218,0.1705282677380187
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.17794486215539,0.16578061573348987
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.2280701754386,0.16098554707229815
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.2781954887218,0.15615508822453852
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.32832080200501,0.15130105603016378
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.37844611528823,0.14643500850501934
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.42857142857143,0.14156819853164768
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.47869674185463,0.13671153068610478
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.52882205513785,0.13187552141884917
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.57894736842105,0.1270702627729852
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.62907268170426,0.12230538978792493
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.67919799498748,0.11759005170072476
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.72932330827068,0.11293288702169166
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.77944862155388,0.10834200252556304
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.8295739348371,0.10382495616511939
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.8796992481203,0.09938874388079824
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.9298245614035,0.09503979024798054
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,101.97994987468671,0.09078394287370299
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.03007518796993,0.08662647042642004
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.08020050125313,0.08257206415679882
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.13032581453633,0.07862484274424192
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.18045112781955,0.07478836028315029
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.23057644110276,0.07106561720508553
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.28070175438596,0.067459073917786
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.33082706766918,0.06397066692981354
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.38095238095238,0.06060182722009096
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.43107769423558,0.05735350060502021
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.4812030075188,0.05422616985196623
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.531328320802,0.05121987828665383
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.58145363408521,0.048334254643299136
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.63157894736842,0.04556853890993017
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.68170426065163,0.042921608927224304
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.73182957393483,0.04039200750696537
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.78195488721805,0.03797796984594699
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.83208020050125,0.03567745102235563
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.88220551378446,0.033488153374244524
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.93233082706767,0.03140755357355032
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,102.98245614035088,0.029432929223702435
flow_npe,posterior_samples.pkl,1000,1000,N=n,1,lambda,103.03258145363408,0.02756138482431897
