method,n,N,N_label,param,seed_count,replicate_count_total,seed_mean_bias_mean,seed_mean_bias_sd,seed_mean_abs_bias_mean,seed_mean_bias_rmse,replicate_mean_abs_bias_mean,seed_mean_bias_q05,seed_mean_bias_q25,seed_mean_bias_q50,seed_mean_bias_q75,seed_mean_bias_q95
flow_npe,100,100,N=n,lambda,101,10100,-0.5767156937098739,3.0012609656245814,2.193531915645788,3.0415431181671693,2.3961937388807244,-4.649686279296875,-2.123339157104492,-0.7159152221679688,0.5163490295410156,3.353418426513672
flow_npe,100,100,N=n,sigma,101,10100,1.8697253311270536,0.7286167428016633,1.8697253311270536,2.0053675251135035,1.8697253311270536,0.8182351207733154,1.4405074071884156,1.787301173210144,2.1658611416816713,3.224415259361267
flow_npe,100,100,N=n,xi,101,10100,-1.2704330530379078,0.25984739678866653,1.2704330530379078,1.2964768761484724,1.2704330530379078,-1.647321618795395,-1.458575873374939,-1.3178665947914123,-1.0591294109821319,-0.8037455070018769
flow_npe,100,460,N=n log(n),lambda,101,10100,-0.6975841303154975,1.1985353551140387,1.0808873136916965,1.3816251202070597,1.3812008198653114,-2.6265813446044923,-1.4792154693603516,-0.6625023651123046,0.13713729858398438,1.1393509674072266
flow_npe,100,460,N=n log(n),sigma,101,10100,1.3408604710645013,0.33622146108059175,1.3408604710645013,1.3819668655966566,1.3408604710645013,0.8210520482063294,1.1112467336654663,1.340160264968872,1.5511807918548584,1.8843540668487548
flow_npe,100,460,N=n log(n),xi,101,10100,-1.248981700710731,0.13634513737178422,1.248981700710731,1.2563284705140065,1.248981700710731,-1.4652934861183167,-1.3445925533771514,-1.259087904691696,-1.1330413222312927,-1.0424614334106446
flow_npe,100,1000,N=n^(3/2),lambda,101,10100,-0.3994649634030786,0.6958892525294458,0.6065664008112237,0.7993994226747679,1.0329000068891168,-1.4840303039550782,-0.862037124633789,-0.3150078582763672,0.09716453552246093,0.5132674407958985
flow_npe,100,1000,N=n^(3/2),sigma,101,10100,0.9604543265375761,0.23392390491115744,0.9604543265375761,0.9882566066470113,0.960465025606722,0.5713112568855285,0.7689230918884278,0.9825320076942444,1.135850977897644,1.256080904006958
flow_npe,100,1000,N=n^(3/2),xi,101,10100,-1.0740478975229926,0.1619858001398591,1.0740478975229926,1.0860748084668859,1.0740478975229926,-1.3536267971992493,-1.1928100109100341,-1.0815871560573578,-0.9684329533576965,-0.8212813091278076
flow_npe,100,10000,N=n^2,lambda,100,10000,-0.005281925964355465,0.3690544138678166,0.2825747787475586,0.3672424914593318,0.854947850036621,-0.6343802185058594,-0.23260751724243164,0.019181480407714842,0.19207464218139647,0.5718335151672362
flow_npe,100,10000,N=n^2,sigma,100,10000,0.21243356100320812,0.22234320729297347,0.21329753199815746,0.30670858261799044,0.24502309650182724,0.005723329246044159,0.07317841351032257,0.12460390746593475,0.2695397388935089,0.6962642446756363
flow_npe,100,10000,N=n^2,xi,100,10000,-0.1384626188352704,0.12199030003686184,0.1384626188352704,0.18413232683256386,0.13983976768702266,-0.4324482003301382,-0.17839060893282294,-0.08783341951668264,-0.05451118672266603,-0.02403140449151397
flow_npe,500,500,N=n,lambda,101,10100,-0.8060286561569366,1.1411023578193924,1.0734143209929514,1.392445532828361,1.1486307601173327,-2.774699859619141,-1.373295211791992,-0.7144118499755859,-0.08645896911621094,0.6719974517822266
flow_npe,500,500,N=n,sigma,101,10100,1.295055289551763,0.31264835960611786,1.295055289551763,1.331896913395044,1.295055289551763,0.8912407279014587,1.088041217327118,1.240598657131195,1.4942039394378661,1.8366672325134277
