method,n,N,N_label,seed,param,source,replicate_count,mean_bias,mean_abs_bias,rmse_bias,q05,q25,q50,q75,q95
flow_npe,100,100,N=n,0,lambda,biases.npy,100,-3.505733642578125,3.505733642578125,3.6703969867368733,-5.422172927856446,-3.9968795776367188,-3.4054031372070312,-2.8910465240478516,-1.8133911132812501
flow_npe,100,100,N=n,0,sigma,biases.npy,100,1.520304388999939,1.520304388999939,1.5253485270358271,1.321189022064209,1.436668336391449,1.5242588520050049,1.6080437302589417,1.730088484287262
flow_npe,100,100,N=n,0,xi,biases.npy,100,-1.458575873374939,1.458575873374939,1.4585988358769715,-1.4697301268577576,-1.465275228023529,-1.4602401852607727,-1.4529395997524261,-1.443824189901352
flow_npe,100,100,N=n,1,lambda,biases.npy,100,1.4932532501220703,1.5851215362548827,1.8125313540493633,-0.224530029296875,0.9250736236572266,1.5771369934082031,2.096424102783203,3.214361572265625
flow_npe,100,100,N=n,1,sigma,biases.npy,100,2.7296117115020753,2.7296117115020753,2.7314971447102208,2.567308855056763,2.660106897354126,2.7171947956085205,2.7887550592422485,2.881327986717224
flow_npe,100,100,N=n,1,xi,biases.npy,100,-1.0152197980880737,1.0152197980880737,1.015361355780008,-1.041085457801819,-1.0263278484344482,-1.0164002776145935,-1.0032488107681274,-0.9884972870349884
flow_npe,100,100,N=n,2,lambda,biases.npy,100,2.3354671478271483,2.373988723754883,2.614885262918398,0.22650146484375006,1.6913471221923828,2.3437576293945312,2.9528427124023438,4.329652023315429
flow_npe,100,100,N=n,2,sigma,biases.npy,100,1.3544077706336974,1.3544077706336974,1.3577064420093283,1.1958475589752198,1.289933443069458,1.361071228981018,1.4137822985649109,1.5031205892562867
flow_npe,100,100,N=n,2,xi,biases.npy,100,-1.6617600989341736,1.6617600989341736,1.661817135587869,-1.6798650324344635,-1.6711688935756683,-1.6638925671577454,-1.6525883972644806,-1.6396831452846528
flow_npe,100,100,N=n,3,lambda,biases.npy,100,-0.6320376586914063,1.1161703491210937,1.4163367573530306,-2.4491085052490233,-1.443521499633789,-0.5791282653808594,0.18770599365234375,1.22681770324707
flow_npe,100,100,N=n,3,sigma,biases.npy,100,1.6317739629745482,1.6317739629745482,1.6360010497919506,1.4589753150939941,1.537812054157257,1.6226844787597656,1.7196495532989502,1.8045866012573242
flow_npe,100,100,N=n,3,xi,biases.npy,100,-1.379365658760071,1.379365658760071,1.379434394934057,-1.3984400749206543,-1.3898674845695496,-1.379398763179779,-1.3700940608978271,-1.354731410741806
flow_npe,100,100,N=n,4,lambda,biases.npy,100,-1.0170398712158204,1.2803978729248047,1.495772479651881,-2.717229461669922,-1.7558746337890625,-1.1426429748535156,-0.42440223693847656,0.8784938812255859
flow_npe,100,100,N=n,4,sigma,biases.npy,100,0.6041043639183045,0.6041043639183045,0.6171036754346636,0.3801626682281494,0.518473744392395,0.6073797941207886,0.6680412292480469,0.8200090527534484
flow_npe,100,100,N=n,4,xi,biases.npy,100,-0.9804752933979034,0.9804752933979034,0.9805378809942321,-0.9979458928108216,-0.9893787503242493,-0.979117214679718,-0.9730215668678284,-0.9632953107357025
flow_npe,100,100,N=n,5,lambda,biases.npy,100,-0.25210784912109374,0.8611674499511719,1.0462066516055408,-1.7913230895996093,-1.0099468231201172,-0.21319961547851562,0.4732208251953125,1.151419448852539
flow_npe,100,100,N=n,5,sigma,biases.npy,100,1.9455726265907287,1.9455726265907287,1.9516970083823397,1.654034638404846,1.8492546677589417,1.9414864778518677,2.0474278926849365,2.237240219116211
flow_npe,100,100,N=n,5,xi,biases.npy,100,-1.1919495749473572,1.1919495749473572,1.1920320441877206,-1.2160373866558074,-1.1997326612472534,-1.1917874813079834,-1.182184100151062,-1.1716488122940063
flow_npe,100,100,N=n,6,lambda,biases.npy,100,1.8162612915039062,1.8492442321777345,2.04302159807049,0.2614616394042969,1.3464202880859375,1.8033905029296875,2.430349349975586,3.198603057861328
flow_npe,100,100,N=n,6,sigma,biases.npy,100,2.5184175109863283,2.5184175109863283,2.52026586784908,2.381498193740845,2.450580358505249,2.5035550594329834,2.5858097076416016,2.683653211593628
flow_npe,100,100,N=n,6,xi,biases.npy,100,-1.5428384566307067,1.5428384566307067,1.5430254532454588,-1.5781059682369232,-1.5583904683589935,-1.5436537265777588,-1.5281296074390411,-1.5032750308513643
flow_npe,100,100,N=n,7,lambda,biases.npy,100,-0.6876025390625,1.074467315673828,1.3576813457591932,-2.808919906616211,-1.4641799926757812,-0.7083244323730469,0.03633880615234375,0.9902729034423822
flow_npe,100,100,N=n,7,sigma,biases.npy,100,1.3795412039756776,1.3795412039756776,1.3833039436104804,1.2251436591148377,1.3120086789131165,1.3835358619689941,1.4404871463775635,1.5242538809776305
flow_npe,100,100,N=n,7,xi,biases.npy,100,-1.455610761642456,1.455610761642456,1.455668536835461,-1.478020930290222,-1.4623902440071106,-1.4544705152511597,-1.4483101069927216,-1.434105259180069
