seed,x_obs_current,current_ref_mean,gauss_kl_stored,gauss_kl_current_audit,gauss_kl_current_recomputed
7,"[1.3846756219863892, 0.7104088068008423, 0.18445995450019836]","[0.6094417572021484, 0.1883803904056549]",0.011291840253126817,,0.044051632409263373
22,"[1.4583872556686401, 0.7182500958442688, 0.1314748227596283]","[0.6141979694366455, 0.11418432742357254]",0.09119206845204669,0.1145645561485186,0.1145645561485186
58,"[1.3662461042404175, 0.6784864664077759, 0.15821057558059692]","[0.590704083442688, 0.1604992002248764]",0.0614642639455804,,0.06501256735238993
63,"[1.4741650819778442, 0.7779344320297241, 0.26978376507759094]","[0.600054144859314, 0.2758132219314575]",0.11226222929976698,,0.07411878882693725
69,"[1.4493050575256348, 0.7128524780273438, 0.1937103569507599]","[0.5654368996620178, 0.18830753862857819]",0.05532310872808616,,0.08777347214127984
