cell,method,param,x,density
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.980139333641481,3.1738798754653947
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.981447529021116,3.3643801010490972
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9827557244007514,3.5629812731045885
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.984063919780387,3.7695077971410966
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.985372115160022,3.9831188985594252
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9866803105396573,4.202292442814153
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9879885059192928,4.425002458439695
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9892967012989278,4.649061378097281
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.990604896678563,4.872548527288289
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.991913092058198,5.094216504218452
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9932212874378337,5.313764960818951
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.994529482817469,5.53189819394748
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.995837678197104,5.750133364306888
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.9971458735767396,5.970388748656772
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.998454068956375,6.194440904773417
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,2.99976226433601,6.423379739304524
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0010704597156455,6.657198235834572
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0023786550952805,6.894623870464866
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.003686850474916,7.133237263155629
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0049950458545513,7.369846736092801
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0063032412341864,7.601017730377922
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.007611436613822,7.823614932180486
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0089196319934572,8.035215450508813
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0102278273730922,8.234293476103275
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0115360227527277,8.420147718409554
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.012844218132363,8.592621282550978
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.014152413511998,8.751726305790081
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0154606088916336,8.897313921698519
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0167688042712686,9.028914593718461
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.018076999650904,9.145817245876804
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0193851950305395,9.247372982608487
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0206933904101745,9.333425262630007
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.02200158578981,9.404711245108713
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0233097811694454,9.463070891489696
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0246179765490804,9.511348576950057
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.025926171928716,9.552964085156207
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0272343673083513,9.591236810575431
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0285425626879863,9.628633074205386
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0298507580676217,9.666142622722642
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0311589534472567,9.702964588104456
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.032467148826892,9.736603679838483
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0337753442065276,9.763368521834924
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0350835395861626,9.779157586720897
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.036391734965798,9.780343783446947
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0376999303454335,9.764546237466911
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0390081257250685,9.73111215886996
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.040316321104704,9.681211545997884
