cell,method,param,x,density
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0416245164843394,9.61754796292856
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0429327118639744,9.543779193860688
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.04424090724361,9.463796818153316
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.045549102623245,9.381022956731622
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0468572980028803,9.29785268076805
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0481654933825157,9.215321147269329
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0494736887621507,9.133025680462454
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.050781884141786,9.049295657501832
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0520900795214216,8.961575763395063
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0533982749010566,8.866963022779899
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.054706470280692,8.762810603847283
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.056014665660327,8.647287617956655
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0573228610399625,8.519778375775457
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.058631056419598,8.381030053639204
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.059939251799233,8.233015617114956
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0612474471788684,8.078553513595319
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.062555642558504,7.9207901161254535
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.063863837938139,7.762679792147187
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0651720333177743,7.606580027260986
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0664802286974098,7.45402484104771
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0677884240770448,7.30567396491566
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.06909661945668,7.161386211338568
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.070404814836315,7.020351094870642
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0717130102159507,6.881232915116152
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.073021205595586,6.742319307230918
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.074329400975221,6.60169736330283
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0756375963548566,6.457485372247036
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.076945791734492,6.308122116864941
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.078253987114127,6.152670840092753
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0795621824937625,5.9910555257915545
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0808703778733975,5.824137481326591
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.082178573253033,5.6535728446049855
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0834867686326684,5.481459472534094
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0847949640123034,5.3098592000453735
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.086103159391939,5.1403351093265215
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0874113547715742,4.973646956002228
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0887195501512092,4.809695631178164
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0900277455308447,4.647718798265836
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.09133594091048,4.486651208757366
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.092644136290115,4.325511964155452
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0939523316697506,4.163687655824459
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0952605270493856,4.001038980345544
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.096568722429021,3.8378400148590774
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0978769178086565,3.6746259747416032
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.0991851131882915,3.5120484734694255
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.100493308567927,3.350810807380283
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1018015039475624,3.191697099589876
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1031096993271974,3.0356496204605357
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.104417894706833,2.8838176592895657
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.105726090086468,2.737512607417932
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1070342854661033,2.5980499562585138
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1083424808457387,2.4665160595798348
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1096506762253737,2.3435380801053505
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.110958871605009,2.2291409898183026
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1122670669846446,2.122744357250146
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1135752623642796,2.0232990410445324
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.114883457743915,1.9295134794672568
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1161916531235505,1.8400920515159973
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1174998485031855,1.75391339570438
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.118808043882821,1.670109391397412
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1201162392624564,1.5880495550573994
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1214244346420914,1.507271704940688
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.122732630021727,1.427414069175235
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.124040825401362,1.3481931816175297
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1253490207809973,1.269443178567385
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1266572161606327,1.191199137458837
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1279654115402677,1.1137836961888132
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.129273606919903,1.0378508627070717
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1305818022995386,0.9643542951718749
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1318899976791736,0.8944330143640539
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.133198193058809,0.8292354386103036
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.134506388438444,0.7697231320842131
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1358145838180795,0.7165026000612217
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.137122779197715,0.66972565893019
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.13843097457735,0.6290797475997703
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1397391699569854,0.593865443130779
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.141047365336621,0.5631367066333391
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.142355560716256,0.5358660864106426
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1436637560958913,0.511095389687004
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1449719514755268,0.488041617807509
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1462801468551618,0.4661443039622097
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.147588342234797,0.4450580069726893
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1488965376144322,0.4246070636066021
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1502047329940677,0.40472538436061106
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.151512928373703,0.38540174510227626
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.152821123753338,0.3666430617401747
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1541293191329736,0.3484583748933969
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.155437514512609,0.3308584127662421
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.156745709892244,0.31386192046157696
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1580539052718795,0.2975007369033061
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1593621006515145,0.2818194064568176
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.16067029603115,0.26686955930917083
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1619784914107854,0.252702198671696
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.1632866867904204,0.2393613192002138
n_obs=1000 seed=0 convention=gaussian,NUTS reference,A,3.164594882170056,0.22688034429275383
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9042640016226344,0.019650272931549754
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.90557219700227,0.021392829142013042
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.906880392381905,0.02238651734840992
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9081885877615403,0.02263532216027945
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9094967831411758,0.022286340576037338
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9108049785208108,0.021614510680858186
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.912113173900446,0.02098960165841254
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.913421369280081,0.020836319155960386
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9147295646597167,0.021596328438523604
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.916037760039352,0.023695625380567634
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.917345955418987,0.027514762079849264
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9186541507986226,0.03335553576436581
