n_obs,n_sims,budget_label,rows,complete_rows,finite_kl_rows,nonfinite_kl_rows,finite_mmd_rows,coverage_shape_ok_rows,biases_shape_ok_rows,finite_kl_min,finite_kl_q25,finite_kl_median,finite_kl_q75,finite_kl_max,mmd_min,mmd_q25,mmd_median,mmd_q75,mmd_max
100,100,N=n,101,101,98,3,101,101,101,5.695072336053927,9.57398968906534,11.01554773895048,12.024133276880065,13.87635710261936,0.493110179901123,0.8538451194763184,0.895724356174469,0.9258229732513428,0.9927600622177124
100,460,N=n log(n),101,101,98,3,101,101,101,5.821742748519325,7.341140398532003,8.073235966796055,9.326344062614776,13.047830373242446,0.450282871723175,0.794897198677063,0.8407561779022217,0.8897435665130615,0.95187908411026
100,1000,N=n^(3/2),101,101,98,3,101,101,101,5.546625502974185,6.734508092286423,7.286278140208681,7.8977752006385105,12.15246107303898,0.4603455066680908,0.7860192656517029,0.8250738382339478,0.858346700668335,0.9158338904380798
100,10000,N=n^2,101,101,98,3,101,101,101,3.696954298887384,4.810331881867507,5.324363706546714,5.846438941840713,8.60952342555228,0.415449321269989,0.6414661407470703,0.7072148323059082,0.7724020481109619,0.8531432151794434
1000,1000,N=n,101,101,101,0,101,101,101,7.958736632617699,9.132058099585318,9.936120030056449,10.472729669469746,14.750319899620385,0.7650262117385864,0.8162755966186523,0.8498978614807129,0.8811277151107788,0.9482144713401794
1000,6907,N=n log(n),101,101,101,0,101,101,101,5.4411584378505315,6.311779864188929,6.893860354000306,7.628348875030695,10.797859245571544,0.4975724816322326,0.6569115519523621,0.7159627676010132,0.7661799192428589,0.8634070158004761
1000,31622,N=n^(3/2),101,101,101,0,101,101,101,3.463544607246519,3.9035468690575663,4.259821952308386,4.664481037585147,6.845000566275505,0.2235838174819946,0.3265646696090698,0.3616048097610473,0.4441830515861511,0.8554768562316895
1000,1000000,N=n^2,101,101,101,0,101,101,101,1.5552306587427158,2.658625684998668,3.115490438062078,3.592520222160428,8.296892671371257,0.055478811264038,0.1566462516784668,0.2462400197982788,0.3095471858978271,1.0843923091888428
