n_obs,n_sims,budget_label,delta0,rows,complete_rows,shape_ok_rows,finite_kl_rows,infinite_kl_rows,nan_kl_rows,finite_kl_fraction,infinite_kl_fraction,finite_kl_min,finite_kl_q25,finite_kl_median,finite_kl_q75,finite_kl_max,finite_mmd_rows,mmd_min,mmd_q25,mmd_median,mmd_q75,mmd_max
1000,1000,N=n,0.01,101,101,101,101,0,0,1.0,0.0,10.521227329826168,11.032839916614645,11.220494160815589,11.424404257064957,11.89362958282617,101,0.796619713306427,0.9752997159957886,1.0062191486358645,1.043389081954956,1.2061705589294434
1000,1000,N=n,0.99,101,101,101,101,0,0,1.0,0.0,-0.005678444740354,0.1360146392485609,0.2595289294331863,0.3757592547432069,1.1245630786258871,101,0.0002654790878295,0.0025854110717773,0.0064043998718261,0.0130243301391601,0.0483167171478271
1000,6907,N=n log(n),0.01,101,101,101,101,0,0,1.0,0.0,10.834287363203474,11.201660338660886,11.357790570911384,11.52460306962079,11.854526965596683,101,0.8683949112892151,0.9803698062896729,1.0477709770202637,1.1087779998779297,1.300196409225464
1000,6907,N=n log(n),0.99,101,101,101,101,0,0,1.0,0.0,-0.0778318438997064,0.0294114583447281,0.0617638260804163,0.1152281744468549,0.2648976120728328,101,-4.732608795166016e-05,0.001007080078125,0.0026570558547973,0.0049035549163818,0.0184731483459472
1000,31622,N=n^(3/2),0.01,101,101,101,100,1,0,0.99009900990099,0.0099009900990099,10.27410528275032,11.114104574872398,11.263224275766408,11.4914834952034,11.941160214094143,101,0.8301013708114624,0.9903175234794616,1.0308921337127686,1.113386631011963,1.5391374826431274
1000,31622,N=n^(3/2),0.99,101,101,101,101,0,0,1.0,0.0,-0.0685480120519978,0.0140313306487798,0.0507872301314791,0.0962565503522672,22.02422719611324,101,-6.520748138427734e-05,0.0006030797958374,0.0017803907394409,0.0030637979507446,1.5986952781677246
1000,1000000,N=n^2,0.01,101,101,101,86,15,0,0.8514851485148515,0.1485148514851485,9.638335062304234,10.494592742459869,10.838001002860668,11.091679043780506,19.527701465320128,101,0.5272430181503296,0.8423516750335693,0.9627222418785096,1.14397931098938,1.9930130243301392
1000,1000000,N=n^2,0.99,101,101,101,87,14,0,0.8613861386138614,0.1386138613861386,-0.1144845349301392,-0.0072466487625252,0.0307392923780486,0.0611751556379675,22.28798963094951,101,-4.4465065002441406e-05,0.0002541542053222,0.0006029605865478,0.0021572113037109,1.9930130243301392
