method,n_obs,n_sims,budget_label,n_seeds_total,n_seeds_finite,mean,std,min,q25,median,q75,max,IQR,max_median_ratio,n_seeds_outlier
flow_npe,100,100,N=n,101,101,0.9635802192601086,0.47169359201535405,0.4315683843182066,0.6853183822010888,0.8560249963164608,1.0383175606151342,3.7439516806059028,0.3529991784140455,4.3736476115959295,7
flow_npe,100,460,N=n log(n),101,101,0.5461781585631976,0.24558253937054958,0.20726190606078745,0.3800617724065971,0.47958794549642536,0.6714303284808101,1.7370701323016924,0.29136855607421297,3.622005408212746,7
flow_npe,100,1000,N=n^(3/2),101,101,0.38034682811829007,0.19206932747507596,0.1247344157735863,0.25720079881639046,0.34810281946853744,0.44290654521075296,1.3310631892230764,0.1857057463943625,3.8237644591769295,6
flow_npe,100,10000,N=n^2,99,99,0.16372254119251936,0.11291248333446695,0.025785745316330568,0.09012251747586567,0.13633909157861754,0.20422965637707097,0.668322861912683,0.1141071389012053,4.901916641620766,9
flow_npe,500,500,N=n,101,101,0.7377157767369165,0.31718672681319426,0.3118039010046495,0.47087990685915876,0.6689258787872175,0.934599367712728,1.5331968567106142,0.46371946085356924,2.292028018844697,7
flow_npe,500,3107,N=n log(n),101,101,0.3027045745687129,0.19216571716290975,0.052572744756955746,0.16209501219575304,0.23714201489847936,0.4038991412624024,0.8620486083182674,0.24180412906664936,3.635157644617766,16
flow_npe,500,11180,N=n^(3/2),101,101,0.14822952685825574,0.1072747822938101,0.018155302654653066,0.06697393426828709,0.1210171265514297,0.18696199722213022,0.48699320303860005,0.11998806295384314,4.024167627477408,13
flow_npe,500,250000,N=n^2,96,95,0.032521372947517606,0.026095601323956656,-0.016670811517005578,0.013478141036765857,0.030376239136432757,0.04772640999982533,0.11732931235314625,0.03424826896305948,3.8625358401403753,13
flow_npe,1000,1000,N=n,101,101,0.6466981256494815,0.4715120206015627,0.19859170205540985,0.361779194201206,0.48328277924622726,0.7604350835136441,3.103212679609507,0.39865588931243806,6.421111640786303,16
flow_npe,1000,6907,N=n log(n),101,101,0.30507493690730886,0.3703149697566661,0.04386583802101272,0.11915824596596437,0.1853869708584317,0.36029206105037265,2.978695943132793,0.2411338150844083,16.067450314010657,24
flow_npe,1000,31622,N=n^(3/2),100,100,0.09627570338164229,0.11768195673390007,-0.009610524656781784,0.04487069382400764,0.06600711559998995,0.1045651159459882,0.9739884967522746,0.05969442212198056,14.755810610703657,18
flow_npe,1000,1000000,N=n^2,80,80,0.02148729292457143,0.023862896349720233,-0.027533666981853444,0.0072006235452574605,0.01998990356981731,0.033656543223740086,0.09949183534508327,0.026455919678482626,4.977104316566372,15
flow_npe,5000,5000,N=n,101,101,0.47259754434280093,0.45418829358661905,0.06813803129985267,0.21118927034664955,0.33527332454401304,0.49993835391415453,2.774090454461383,0.28874908356750495,8.274116225125491,20
flow_npe,5000,42585,N=n log(n),99,99,0.13932658944473914,0.15997012356112672,-0.03369538403109371,0.048731204432934064,0.08176541714545678,0.16743522591268067,0.8334861774099377,0.11870402147974661,10.19362716547028,27
flow_npe,5000,353553,N=n^(3/2),95,95,0.04203118200860975,0.04418105793021307,-0.03141693676383313,0.009070600627931164,0.03777298505765605,0.06485963624470678,0.22766006571736633,0.05578903561677562,6.027060487008634,21
flow_npe,5000,25000000,N=n^2,0,0,,,,,,,,,,0
gaussian_npe,100,100,N=n,101,101,0.815115201602791,0.37423474234959614,0.27351545673604144,0.5345061711732804,0.7707845966261024,0.9934741278832585,2.3476573927100763,0.45896795670997814,3.0458021644260937,5
gaussian_npe,100,460,N=n log(n),101,101,0.5395241840150518,0.3025856163208086,0.08002023827539946,0.3399485796044251,0.45970379569199693,0.7038268775421264,1.5837015948645132,0.36387829793770127,3.445047897593603,10
gaussian_npe,100,1000,N=n^(3/2),101,101,0.43881565410323947,0.21134369752908538,0.14033289703217874,0.2963559344780673,0.39222606118888964,0.5383961707706367,1.2452629832556326,0.24204023629256943,3.174860384037394,8
gaussian_npe,100,10000,N=n^2,99,99,0.3600136724766368,0.1785943190200017,0.076675895853954,0.23400798362292657,0.3182937108365331,0.454429769549817,1.009463502623404,0.22042178592689043,3.171484287170967,5
gaussian_npe,500,500,N=n,101,101,0.4496595430681664,0.3750912350252877,0.003588709912976731,0.1992830259244593,0.3588196235103112,0.5890766583448742,2.2568575894021485,0.3897936324204149,6.289671582962614,17
gaussian_npe,500,3107,N=n log(n),101,101,0.28786664534768913,0.19959907034029276,-0.019075415891024676,0.1531320868760999,0.2382605049813268,0.3610786255036393,1.0028711335761284,0.2079465386275394,4.209137110889303,12
gaussian_npe,500,11180,N=n^(3/2),101,101,0.18439227972099653,0.13747168847742225,-0.028777883285981198,0.09464048878400783,0.14659646356426606,0.2555968084380387,0.7267285742913375,0.1609563196540309,4.957340420239734,17
gaussian_npe,500,250000,N=n^2,96,96,0.08224264469267319,0.07651996226741463,-0.07253100204155022,0.031394961206031864,0.06790959596555787,0.11972172658467221,0.33116868511619535,0.08832676537864034,4.876611035709242,18
gaussian_npe,1000,1000,N=n,101,101,0.39069451039088354,0.38202620643632385,0.01585900255078688,0.16322702049398108,0.3241128950620442,0.4406237439247341,2.7649678034399865,0.277396723430753,8.530878732580803,14
gaussian_npe,1000,6907,N=n log(n),101,101,0.2540289950968475,0.26938930594094757,-0.03713006393057379,0.10374050080598633,0.18068999133407948,0.3087200870760886,2.1955091001812383,0.20497958627010227,12.150695696929557,20
gaussian_npe,1000,31622,N=n^(3/2),100,100,0.09415350580493687,0.06830361637165366,-0.040000742166095685,0.040645341780480994,0.0961708092819629,0.13578784433969412,0.3252323227089231,0.09514250255921314,3.381819547295016,7
gaussian_npe,1000,1000000,N=n^2,80,80,0.0410124118148177,0.05162542072521172,-0.07792080722745583,0.01220983446825496,0.04035415429629073,0.07418385903596723,0.15662909424982618,0.061974024567712276,3.8813623276506926,16
gaussian_npe,5000,5000,N=n,101,101,0.34253137022200175,0.32112376540832616,-0.050151478601194704,0.1364315149580875,0.22591299217033178,0.48021040123432635,1.9470491703153212,0.34377888627623887,8.618579886044373,28
gaussian_npe,5000,42585,N=n log(n),99,99,0.14597654302563498,0.14230650655101648,-0.04826014569437409,0.05326412184643704,0.11107079821707236,0.19092118022953375,0.7094965369414772,0.13765705838309672,6.387786423888531,22
gaussian_npe,5000,353553,N=n^(3/2),95,95,0.041406933294547074,0.07866078746067824,-0.060707389486262156,-0.012610314396994964,0.03432374503478802,0.06969524730403551,0.5655226460592929,0.08230556170103047,16.476134684199547,25
gaussian_npe,5000,25000000,N=n^2,0,0,,,,,,,,,,0
