seed,x_obs_current,stored_ref_mean,current_ref_mean,flow_mean,ref_mean_shift_l2,flow_kl_stored,flow_kl_current,gauss_kl_stored,gauss_kl_current,current_reference_path,gauss_samples_path,nuts_num_warmup,nuts_num_samples,nuts_thinning,nuts_num_chains,status
7,"[1.3846756219863892, 0.7104088068008423, 0.18445995450019836]","[0.6106748580932617, 0.18789421021938324]","[0.6094417572021484, 0.1883803904056549]","[0.6037546992301941, 0.1924985945224762]",0.00132548448164016,0.012148923890140346,0.02980328050209069,0.011291840253126817,,res/ma2_b0/audit_n_obs_1000_seed_7/nuts_current_reference.pkl,,2000,10000,10,1,complete
58,"[1.3662461042404175, 0.6784864664077759, 0.15821057558059692]","[0.5837301015853882, 0.15993016958236694]","[0.590704083442688, 0.1604992002248764]","[0.5877761840820312, 0.15896765887737274]",0.006997157819569111,0.36822572876008747,0.005683467750641564,0.0614642639455804,,res/ma2_b0/audit_n_obs_1000_seed_58/nuts_current_reference.pkl,,2000,10000,10,1,complete
22,"[1.4583872556686401, 0.7182500958442688, 0.1314748227596283]","[0.6486726999282837, 0.1294279545545578]","[0.6141979694366455, 0.11418432742357254]","[0.6157687306404114, 0.1085357517004013]",0.037694498896598816,0.6643499423092952,0.016387699991094733,0.09119206845204669,0.1145645561485186,res/ma2_b0/audit_n_obs_1000_seed_22/nuts_current_reference.pkl,res/ma2_b0/gaussian_npe_n_obs_1000_n_sims_1000000_seed_22_overlay/posterior_samples.pkl,2000,10000,10,1,complete
63,"[1.4741650819778442, 0.7779344320297241, 0.26978376507759094]","[0.6199452877044678, 0.27131083607673645]","[0.600054144859314, 0.2758132219314575]","[0.5982096195220947, 0.27199000120162964]",0.0203943382948637,1.1132032618479608,0.027078734466461255,0.11226222929976698,,res/ma2_b0/audit_n_obs_1000_seed_63/nuts_current_reference.pkl,,2000,10000,10,1,complete
69,"[1.4493050575256348, 0.7128524780273438, 0.1937103569507599]","[0.6179091930389404, 0.19058308005332947]","[0.5654368996620178, 0.18830753862857819]","[0.5654812455177307, 0.18056491017341614]",0.052521612495183945,1.509090345456808,0.06498798600258007,0.05532310872808616,,res/ma2_b0/audit_n_obs_1000_seed_69/nuts_current_reference.pkl,,2000,10000,10,1,complete
