cell,method,param,x,density
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.006405408777783,3.012788045981244
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0080532231364416,3.219824241540611
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0097010374951,3.4325216751589727
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0113488518537586,3.651333853659168
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0129966662124175,3.87680370809747
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.014644480571076,4.109144646674303
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0162922949297344,4.347816589767143
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.017940109288393,4.591276160962403
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0195879236470513,4.837032885892686
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0212357380057098,5.0820220658048845
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0228835523643682,5.323164367398784
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.024531366723027,5.557895242036372
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0261791810816856,5.784465354366356
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.027826995440344,6.001933055269563
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0294748097990025,6.209930208323103
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.031122624157661,6.408394977338967
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0327704385163194,6.597464445204124
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0344182528749784,6.777604415491579
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.036066067233637,6.949888763658058
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0377138815922953,7.116221576710534
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0393616959509537,7.279291129393232
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.041009510309612,7.442157985097104
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0426573246682707,7.607547147473323
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.044305139026929,7.777048324858941
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.045952953385588,7.950468546168542
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0476007677442465,8.125524410779953
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.049248582102905,8.297952412611084
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0508963964615634,8.462012458355249
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.052544210820222,8.61129555436778
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0541920251788803,8.739718725917738
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.055839839537539,8.842572876208864
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0574876538961977,8.917460997767348
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.059135468254856,8.964928963510058
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0607832826135146,8.988581632933771
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.062431096972173,8.994536301296558
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0640789113308315,8.99021586461482
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.06572672568949,8.982699102410937
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0673745400481485,8.977046023179376
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0690223544068074,8.975100719192168
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.070670168765466,8.975173177216805
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0723179831241243,8.972725278151975
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0739657974827828,8.961833309741428
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.075613611841441,8.936915798920781
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0772614262000997,8.894126121828819
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.078909240558758,8.831958028336011
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.080557054917417,8.75094104097036
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0822048692760755,8.65267657078992
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.083852683634734,8.538728093056639
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0855004979933924,8.409916042727502
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.087148312352051,8.266358204710189
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0887961267107094,8.10822462156014
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.090443941069368,7.93680673498385
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0920917554280267,7.755309200114434
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.093739569786685,7.568863626430738
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0953873841453436,7.383609839409976
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.097035198504002,7.205135292925666
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.0986830128626606,7.036889850723363
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.100330827221319,6.879234302348511
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1019786415799775,6.72951184210223
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1036264559386364,6.5830870194734885
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.105274270297295,6.4348981073325895
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1069220846559533,6.280903568035758
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.108569899014612,6.118926312159617
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1102177133732702,5.948717147484901
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1118655277319287,5.771396595333915
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.113513342090587,5.588638381929562
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.115161156449246,5.401968042157408
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1168089708079045,5.212407668402859
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.118456785166563,5.020501149961426
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1201045995252215,4.826598023335015
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.12175241388388,4.631208955965429
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1234002282425384,4.435270343915318
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.125048042601197,4.2402321609874845
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1266958569598557,4.047964783583178
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.128343671318514,3.8605327872183675
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1299914856771727,3.6798980047442584
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.131639300035831,3.507605737932199
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1332871143944896,3.344501213984101
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.134934928753148,3.1905313281295706
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1365827431118065,3.044699538349131
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1382305574704654,2.905233147314688
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.139878371829124,2.769971779361898
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1415261861877823,2.636901450122112
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.143174000546441,2.5046794880891237
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1448218149050993,2.3729709742935277
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1464696292637577,2.242473632684923
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1481174436224166,2.1146272883821826
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.149765257981075,1.9911302786963174
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.1514130723397336,1.8734556857020186
"n=1000, N=n^(3/2)",Reference (flow convention),A,3.153060886698392,1.762540766473256
