metric,n,mean,std,min,q25,median,q75,max
stored_flow_kl,80,0.7497354174550235,0.6240793248514411,-0.05131641472038209,0.357898754089682,0.6669671108310664,1.1132085582882492,2.961499838652741
current_flow_kl,80,0.022557690867104168,0.02803410159181222,-0.028368288446732892,0.005772734140961996,0.018723877836190526,0.03500643981964641,0.13114147452495578
current_minus_stored_flow_kl,80,-0.7271777265879196,0.6143161310774761,-2.9218819807549004,-1.0623312301330972,-0.6466838037904974,-0.32557371814533215,0.06463379233631683
reference_mean_shift_l2,80,0.022488857798545026,0.019127103458157595,0.0005381290978611827,0.006940150295144283,0.017918171456349555,0.0347772083136884,0.07909992984693924
reference_mean_shift_t1,80,0.0066681730949878625,0.028469834790751925,-0.052473231017589606,-0.009273142555356079,0.0004860772788524703,0.027008381187915736,0.07906517330408092
reference_mean_shift_t2,80,0.0012919045809656393,0.004554962404759793,-0.015243557733297344,-0.0011197299137711524,0.0009801980942487631,0.0037178122833371186,0.01387687658071518
