method,n_obs,n_sims,budget_label,seed,kl,mmd
flow_npe,100,100,N=n,89,0.9376553261902345,0.060536385
flow_npe,100,100,N=n,90,0.7583653917175027,0.11248171
flow_npe,100,100,N=n,91,1.5843367710813177,0.107649565
flow_npe,100,100,N=n,92,0.6815832334763529,0.08848405
flow_npe,100,100,N=n,93,1.1720963300180398,0.16033912
flow_npe,100,100,N=n,94,0.6970362589790725,0.06611848
flow_npe,100,100,N=n,95,1.7594901042630795,0.30215013
flow_npe,100,100,N=n,96,1.3221968904867876,0.046944976
flow_npe,100,100,N=n,97,0.5508423003134745,0.03165257
flow_npe,100,100,N=n,98,0.7018855592553142,0.083611965
flow_npe,100,100,N=n,99,0.9456398589925232,0.07925308
flow_npe,100,100,N=n,100,0.7385581402768292,0.07733643
flow_npe,100,460,N=n log(n),0,0.3928334720405885,0.03656435
flow_npe,100,460,N=n log(n),1,0.5230989868540413,0.03352928
flow_npe,100,460,N=n log(n),2,0.2555586006789766,0.007247448
flow_npe,100,460,N=n log(n),3,0.494668240660655,0.028710365
flow_npe,100,460,N=n log(n),4,0.5197796007304415,0.027706623
flow_npe,100,460,N=n log(n),5,0.2663924283659116,0.021762729
flow_npe,100,460,N=n log(n),6,0.8738326233645746,0.023476839
flow_npe,100,460,N=n log(n),7,0.7518194520311737,0.010692239
flow_npe,100,460,N=n log(n),8,0.41010536191265695,0.026356816
flow_npe,100,460,N=n log(n),9,0.3800617724065971,0.018393397
flow_npe,100,460,N=n log(n),10,0.37841033475886543,0.02515769
flow_npe,100,460,N=n log(n),11,0.6714303284808101,0.03724265
flow_npe,100,460,N=n log(n),12,0.4913517183644828,0.039200902
flow_npe,100,460,N=n log(n),13,0.4579641325812223,0.020855784
flow_npe,100,460,N=n log(n),14,0.7866085469348606,0.08992779
flow_npe,100,460,N=n log(n),15,0.3336572837143077,0.024879932
flow_npe,100,460,N=n log(n),16,0.8836524504737373,0.116348624
flow_npe,100,460,N=n log(n),17,0.7668540137518597,0.0144701
flow_npe,100,460,N=n log(n),18,0.5579227145011189,0.03600633
flow_npe,100,460,N=n log(n),19,0.3665065133628964,0.016798496
flow_npe,100,460,N=n log(n),20,0.5655255060377405,0.008288264
flow_npe,100,460,N=n log(n),21,1.7370701323016924,0.24442685
flow_npe,100,460,N=n log(n),22,0.4475900934028656,0.029934525
flow_npe,100,460,N=n log(n),23,0.40065263448271154,0.017686963
flow_npe,100,460,N=n log(n),24,0.35357879883090854,0.0077991486
flow_npe,100,460,N=n log(n),25,0.8906860794193582,0.075873375
flow_npe,100,460,N=n log(n),26,0.2737343037986895,0.0063072443
flow_npe,100,460,N=n log(n),27,0.9916077050262986,0.0535053
flow_npe,100,460,N=n log(n),28,0.6026492657135301,0.031151533
flow_npe,100,460,N=n log(n),29,0.517628324642774,0.013456464
