n,N,N_label,standard_paper_grid,paired_seed_count,complete_101_paired,flow_theta_kl_count,flow_theta_kl_mean,flow_theta_kl_sd,flow_theta_kl_min,flow_theta_kl_max,flow_theta_kl_q05,flow_theta_kl_q25,flow_theta_kl_median,flow_theta_kl_q75,flow_theta_kl_q95,gaussian_theta_kl_count,gaussian_theta_kl_mean,gaussian_theta_kl_sd,gaussian_theta_kl_min,gaussian_theta_kl_max,gaussian_theta_kl_q05,gaussian_theta_kl_q25,gaussian_theta_kl_median,gaussian_theta_kl_q75,gaussian_theta_kl_q95
100,100,N=n,1,101,1,101,9.804024109873373,1.3558962220188842,6.2859641574681975,12.730732824210724,7.426541009675607,8.87626613647688,9.623855857902566,10.756088521094956,12.07629307403268,101,9.36349853114782,1.9153426677535503,5.705622641708165,13.515086295233846,6.304591054046567,7.73746740909383,9.561149774577778,10.99579998987726,12.247668304152237
100,460,N=n log(n),1,101,1,101,8.237785031988967,1.3122774421644885,4.962724405423048,11.69666273023626,6.066237089065358,7.46044796579077,8.124910769220362,9.128289684475362,10.232573394773718,101,7.268525929553479,1.6517198524107763,4.49929011582946,11.43956863978677,5.196324929269591,6.053471626777344,6.970013561904399,8.13703168805185,10.43449879321947
100,1000,N=n^(3/2),1,101,1,101,6.93037509567575,1.1729410951792598,4.378379025278368,9.768993832464837,5.190812902004583,6.1517549643155105,6.726586240779905,7.731331120620924,9.15783306017524,101,6.297965267807191,1.189010001588741,4.282123365887799,10.988247120749628,4.887042542493336,5.575107349380012,6.166865445109253,6.6326300896166615,8.69612130163631
100,10000,N=n^2,1,101,1,101,4.524803056823441,0.8639671810450338,2.469789381152827,7.624273971908078,3.432788080863268,4.01442779731546,4.331124359244815,5.040156756697117,5.905160453147917,101,4.160495692470529,0.736739348865981,2.7461005588607454,6.370410742497244,2.999242248008868,3.672851682008503,4.093436723229255,4.550280385858666,5.349538161936854
500,500,N=n,1,101,1,101,9.42456774952515,1.4945567222570597,6.833436563400827,13.851987460967068,7.332519923472597,8.345869326510961,9.064589282261396,10.733893944955527,11.701652575439294,101,8.672064476406458,1.3338728278854,6.617344452899266,14.756578913353511,7.114171911219646,7.8555372319885315,8.345445311434151,9.021086704419677,11.373798931606794
500,3107,N=n log(n),1,101,1,101,6.48080230277419,0.972304249892926,4.361453526699979,10.641794248657243,5.108863792409487,5.865564328895242,6.389933139059193,7.028419906563631,8.075098794242816,101,7.187822178363735,0.7884636546554328,5.64479435167213,9.614235786778998,6.016477539005565,6.714047729929311,7.063113398055271,7.650526829229374,8.56014220211079
500,11180,N=n^(3/2),1,101,1,101,4.587970257494757,0.8630715235891382,3.177099495393857,9.465835023381969,3.530312847230312,4.044278109563225,4.395169943483712,4.9606878886752215,6.082138610790861,101,4.672171001979588,0.6108454099727494,3.467484515944561,7.387474449551819,3.941730396277392,4.308158020572686,4.592516571578766,4.9803144666509995,5.600975572325364
500,250000,N=n^2,1,101,1,101,2.2313297842093434,0.7067832254078902,1.4274639346464684,6.168194796134842,1.5497043885582054,1.791749971930471,2.0358916906983326,2.455844843393093,3.708646208461596,101,2.9529244952553,0.6429070597173498,1.863158311716247,4.851032445019118,2.1777693301630263,2.4866792641586497,2.7614503090385116,3.348896601184073,4.10392942815479
1000,1000,N=n,1,101,1,101,9.002237395604709,1.0684020435718138,6.52067146437388,12.499690938376508,7.438676670331346,8.278594727449306,8.864656833074285,9.771623062428963,10.518638729403389,101,9.261346807014098,1.0364308179913646,7.278202714513832,14.015137453408796,7.843980370299368,8.613062676994963,9.142799111358396,9.766529531336378,10.850879707639429
1000,6907,N=n log(n),1,101,1,101,5.75794365092391,1.0837728616123572,3.9412018307780383,11.805169130131311,4.347152764561699,4.998130845877789,5.721345955013075,6.3122401069789476,7.441733764020766,101,6.0198839129471,0.8052219390841778,4.495727384550363,9.62253179742693,4.9300506550222,5.5018294837747845,5.956680887571201,6.374845915526051,7.242987754420864
1000,31622,N=n^(3/2),1,101,1,101,3.963757430575126,0.9953960680681812,2.869919109574829,8.312146033379886,3.084806518588347,3.3341973534853495,3.6474770365054647,4.158489920609736,5.6007620770164355,101,3.9504200300562,0.4742475345593214,3.166168906967108,6.449295690634872,3.3162105877796684,3.659515076118384,3.87310702226854,4.186162168529665,4.695437263826962
1000,1000000,N=n^2,1,101,1,101,2.2274119797420897,1.1275565190899404,1.1668599498619157,8.043994830248934,1.4112018310430716,1.5906478628593284,1.8719965574477415,2.4552917395155784,4.287934412850286,101,2.5680742227236286,0.5982882918938106,1.6765665355639383,4.704704115510156,1.834768112756448,2.07934422778985,2.480545812583893,2.929276996917671,3.607104128563829
5000,5000,N=n,1,101,1,101,7.073496874943713,1.224873706988202,4.893967084955171,11.809875464817416,5.530826164117755,6.250763525597569,6.866725807961423,7.624421634830314,9.497150599768982,101,7.747419593828293,0.9369677486244036,5.940209216926838,11.27929380036752,6.489458017393153,7.053085579795559,7.692436899902485,8.263197697548478,9.225286591612916
5000,42585,N=n log(n),1,101,1,101,4.188412337274044,0.7367624439506888,3.09807053810279,8.62279182380831,3.452239786670234,3.768731710021841,4.086930633789993,4.3624342341489974,5.553490221727071,101,4.578094631684938,0.6686635148422566,3.294149502413171,6.7696199313785685,3.655161007126743,4.121073672866908,4.508117482579549,4.819108033940664,5.889797514548352
5000,353553,N=n^(3/2),1,101,1,101,2.750158374020438,0.8390505897241171,1.7544090430633623,8.760064465734171,2.0111762931415416,2.2374149499478153,2.589041559244491,2.9143711545283892,4.1056763343952865,101,3.1799215186468723,0.6552897456364808,2.195957542410149,4.901041934791987,2.427381466264075,2.7414510144119877,2.984073997719272,3.460464056964366,4.607135697488748
5000,25000000,N=n^2,1,65,0,65,2.45048179131739,0.9702931113781704,1.515845964827842,8.96364084734876,1.7888768103154815,2.013671915174086,2.2247745081445007,2.512902846266924,3.634097911991794,65,2.7428054426544852,0.460030070954866,1.926185676461376,4.079536220941185,2.092327908825797,2.436489601842965,2.6749442520176125,3.0252884883791338,3.5488239934906156
